,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,22.0,22.0,23.0,22.0
1,Avg. Estimate,1.02,0.98,4.1,4.6
2,Low Estimate,0.97,0.91,3.97,3.98
3,High Estimate,1.07,1.03,4.59,4.95
4,Year Ago EPS,0.79,0.83,3.62,4.1
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,21,21,23,22
1,Avg. Estimate,698.33M,693.33M,2.84B,3.04B
2,Low Estimate,690.77M,677.6M,2.81B,2.96B
3,High Estimate,703.81M,705M,2.86B,3.1B
4,Year Ago Sales,668.72M,662.76M,2.71B,2.84B
5,Sales Growth (year/est),4.40%,4.60%,4.60%,7.00%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.7,0.8,0.83,1
1,EPS Actual,0.79,0.83,0.94,1.07
2,Difference,0.09,0.03,0.11,0.07
3,Surprise %,12.90%,3.70%,13.30%,7.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.02,0.98,4.1,4.6
1,7 Days Ago,1.02,0.98,4.11,4.61
2,30 Days Ago,1.02,0.98,4.12,4.63
3,60 Days Ago,1.02,0.98,4.1,4.62
4,90 Days Ago,0.97,0.97,4.03,4.58
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,1,1
1,Up Last 30 Days,1,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,AKAM,Industry,Sector,S&P 500
0,Current Qtr.,29.10%,N/A,N/A,-0.00
1,Next Qtr.,18.10%,N/A,N/A,0.04
2,Current Year,13.30%,N/A,N/A,0.05
3,Next Year,12.20%,N/A,N/A,0.11
4,Next 5 Years (per annum),15.30%,N/A,N/A,0.10
5,Past 5 Years (per annum),9.06%,N/A,N/A,N/A
