,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,17.0,17.0,17.0,16.0
1,Avg. Estimate,0.11,2.08,6.0,6.88
2,Low Estimate,-0.05,1.82,5.34,5.5
3,High Estimate,0.16,2.25,6.77,7.5
4,Year Ago EPS,0.14,1.66,4.46,6.0
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,12,12,15,14
1,Avg. Estimate,1.87B,2.3B,8.7B,9.26B
2,Low Estimate,1.86B,2.24B,8.64B,9.07B
3,High Estimate,1.88B,2.33B,8.83B,9.48B
4,Year Ago Sales,1.83B,2.16B,8.26B,8.7B
5,Sales Growth (year/est),2.20%,6.70%,5.30%,6.40%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.12,1.63,1.81,0.71
1,EPS Actual,0.14,1.66,1.91,0.75
2,Difference,0.02,0.03,0.1,0.04
3,Surprise %,16.70%,1.80%,5.50%,5.60%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.11,2.08,6.0,6.88
1,7 Days Ago,0.0,2.12,6.02,6.89
2,30 Days Ago,0.1,2.21,6.31,7.07
3,60 Days Ago,0.33,2.32,6.74,7.31
4,90 Days Ago,0.52,2.46,6.61,7.4
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,11,2,5,3
1,Up Last 30 Days,11,2,6,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,8,5,3
,Growth Estimates,ALK,Industry,Sector,S&P 500
0,Current Qtr.,-21.40%,N/A,N/A,-0.02
1,Next Qtr.,25.30%,N/A,N/A,0.04
2,Current Year,34.50%,N/A,N/A,0.05
3,Next Year,14.70%,N/A,N/A,0.11
4,Next 5 Years (per annum),15.31%,N/A,N/A,0.10
5,Past 5 Years (per annum),1.09%,N/A,N/A,N/A
