,0,1
0,Market Cap (intraday) 5,8.86B
1,Enterprise Value 3,10.02B
2,Trailing P/E ,20.65
3,Forward P/E 1,17.72
4,PEG Ratio (5 yr expected) 1,2.22
5,Price/Sales (ttm),3.24
6,Price/Book (mrq),13.63
7,Enterprise Value/Revenue 3,3.67
8,Enterprise Value/EBITDA 6,16.44
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,15.92%
1,Operating Margin (ttm),19.72%
,0,1
0,Return on Assets (ttm),12.58%
1,Return on Equity (ttm),82.19%
,0,1
0,Revenue (ttm),2.73B
1,Revenue Per Share (ttm),28.75
2,Quarterly Revenue Growth (yoy),12.70%
3,Gross Profit (ttm),1.17B
4,EBITDA ,609.4M
5,Net Income Avi to Common (ttm),434.9M
6,Diluted EPS (ttm),4.54
7,Quarterly Earnings Growth (yoy),"1,283.30%"
,0,1
0,Total Cash (mrq),283.8M
1,Total Cash Per Share (mrq),3
2,Total Debt (mrq),1.44B
3,Total Debt/Equity (mrq),220.92
4,Current Ratio (mrq),1.79
5,Book Value Per Share (mrq),6.88
,0,1
0,Operating Cash Flow (ttm),457.8M
1,Levered Free Cash Flow (ttm),337.18M
,0,1
0,Beta (3Y Monthly) ,1.19
1,52-Week Change 3,11.10%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,95.27
4,52 Week Low 3,73.85
5,50-Day Moving Average 3,90.84
6,200-Day Moving Average 3,87.30
,0,1
0,Avg Vol (3 month) 3,710.35k
1,Avg Vol (10 day) 3,811.7k
2,Shares Outstanding 5,94.46M
3,Float ,94.12M
4,% Held by Insiders 1,0.29%
5,% Held by Institutions 1,99.61%
6,"Shares Short (Mar 29, 2019) 4",5.04M
7,"Short Ratio (Mar 29, 2019) 4",7.57
8,"Short % of Float (Mar 29, 2019) 4",5.95%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",5.34%
10,"Shares Short (prior month Feb 28, 2019) 4",4.65M
,0,1
0,Forward Annual Dividend Rate 4,1.08
1,Forward Annual Dividend Yield 4,1.19%
2,Trailing Annual Dividend Rate 3,0.84
3,Trailing Annual Dividend Yield 3,0.89%
4,5 Year Average Dividend Yield 4,0.67
5,Payout Ratio 4,18.50%
6,Dividend Date 3,"Jun 28, 2019"
7,Ex-Dividend Date 4,"Jun 13, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
