,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,20.0,19.0,21.0,21.0
1,Avg. Estimate,1.22,2.15,8.07,9.16
2,Low Estimate,1.13,2.06,7.99,8.88
3,High Estimate,1.3,2.26,8.23,9.49
4,Year Ago EPS,1.29,2.35,6.52,8.07
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,13,13,15,15
1,Avg. Estimate,2.39B,2.86B,10.9B,11.5B
2,Low Estimate,2.35B,2.81B,10.81B,11.29B
3,High Estimate,2.42B,2.92B,10.98B,11.9B
4,Year Ago Sales,2.34B,2.91B,10B,10.9B
5,Sales Growth (year/est),2.10%,-1.80%,9.00%,5.50%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.28,2.35,2.81,1.64
1,EPS Actual,1.29,2.35,2.97,1.71
2,Difference,0.01,0,0.16,0.07
3,Surprise %,0.80%,0.00%,5.70%,4.30%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.22,2.15,8.07,9.16
1,7 Days Ago,1.22,2.15,8.07,9.16
2,30 Days Ago,1.23,2.15,8.07,9.15
3,60 Days Ago,1.23,2.15,8.07,9.14
4,90 Days Ago,1.25,2.18,8.06,9.16
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,1,2,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,AON,Industry,Sector,S&P 500
0,Current Qtr.,-5.40%,N/A,N/A,0.48
1,Next Qtr.,-8.50%,N/A,N/A,0.40
2,Current Year,23.80%,N/A,N/A,0.21
3,Next Year,13.50%,N/A,N/A,0.10
4,Next 5 Years (per annum),14.27%,N/A,N/A,0.11
5,Past 5 Years (per annum),10.47%,N/A,N/A,N/A
