,0,1
0,Market Cap (intraday) 5,36.96B
1,Enterprise Value 3,42.79B
2,Trailing P/E ,47.55
3,Forward P/E 1,16.63
4,PEG Ratio (5 yr expected) 1,1.30
5,Price/Sales (ttm),3.39
6,Price/Book (mrq),8.14
7,Enterprise Value/Revenue 3,3.92
8,Enterprise Value/EBITDA 6,18.85
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,7.41%
1,Operating Margin (ttm),17.71%
,0,1
0,Return on Assets (ttm),4.43%
1,Return on Equity (ttm),17.19%
,0,1
0,Revenue (ttm),10.9B
1,Revenue Per Share (ttm),43.55
2,Quarterly Revenue Growth (yoy),8.20%
3,Gross Profit (ttm),4.21B
4,EBITDA ,2.27B
5,Net Income Avi to Common (ttm),834M
6,Diluted EPS (ttm),3.20
7,Quarterly Earnings Growth (yoy),-93.80%
,0,1
0,Total Cash (mrq),561M
1,Total Cash Per Share (mrq),2.31
2,Total Debt (mrq),6.61B
3,Total Debt/Equity (mrq),143.14
4,Current Ratio (mrq),1.07
5,Book Value Per Share (mrq),18.70
,0,1
0,Operating Cash Flow (ttm),647M
1,Levered Free Cash Flow (ttm),-597.75M
,0,1
0,Beta (3Y Monthly) ,0.64
1,52-Week Change 3,4.55%
2,S&P500 52-Week Change 3,5.16%
3,52 Week High 3,158.77
4,52 Week Low 3,130.87
5,50-Day Moving Average 3,152.61
6,200-Day Moving Average 3,144.96
,0,1
0,Avg Vol (3 month) 3,863.39k
1,Avg Vol (10 day) 3,1.08M
2,Shares Outstanding 5,242.66M
3,Float ,237.94M
4,% Held by Insiders 1,1.13%
5,% Held by Institutions 1,89.01%
6,"Shares Short (Sep 28, 2018) 4",2.28M
7,"Short Ratio (Sep 28, 2018) 4",2.59
8,"Short % of Float (Sep 28, 2018) 4",0.93%
9,"Short % of Shares Outstanding (Sep 28, 2018) 4",0.94%
10,"Shares Short (prior month Aug 31, 2018) 4",2.14M
,0,1
0,Forward Annual Dividend Rate 4,1.6
1,Forward Annual Dividend Yield 4,1.06%
2,Trailing Annual Dividend Rate 3,1.48
3,Trailing Annual Dividend Yield 3,0.99%
4,5 Year Average Dividend Yield 4,1.05
5,Payout Ratio 4,44.44%
6,Dividend Date 3,"Nov 15, 2018"
7,Ex-Dividend Date 4,"Oct 31, 2018"
8,Last Split Factor (new per old) 2,3/2
9,Last Split Date 3,"May 18, 1999"
