,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,20.0,19.0,20.0,21.0
1,Avg. Estimate,1.2,1.39,5.3,5.82
2,Low Estimate,1.1,1.31,5.12,5.5
3,High Estimate,1.26,1.46,5.45,6.18
4,Year Ago EPS,1.66,1.28,4.64,5.3
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,17,16,21,21
1,Avg. Estimate,3.42B,3.67B,14.4B,15.42B
2,Low Estimate,3.34B,3.58B,14.12B,15.05B
3,High Estimate,3.49B,3.75B,14.54B,15.85B
4,Year Ago Sales,4.33B,3.44B,12.88B,14.4B
5,Sales Growth (year/est),-21.10%,6.60%,11.80%,7.00%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.57,1.31,1.2,1.35
1,EPS Actual,1.66,1.28,1.29,1.4
2,Difference,0.09,-0.03,0.09,0.05
3,Surprise %,5.70%,-2.30%,7.50%,3.70%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.2,1.39,5.3,5.82
1,7 Days Ago,1.21,1.4,5.32,5.85
2,30 Days Ago,1.24,1.43,5.37,5.92
3,60 Days Ago,1.24,1.43,5.37,5.94
4,90 Days Ago,1.28,1.43,5.35,5.89
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,3,3,3
,Growth Estimates,APTV,Industry,Sector,S&P 500
0,Current Qtr.,-27.70%,N/A,N/A,0.48
1,Next Qtr.,8.60%,N/A,N/A,0.40
2,Current Year,14.20%,N/A,N/A,0.21
3,Next Year,9.80%,N/A,N/A,0.10
4,Next 5 Years (per annum),13.37%,N/A,N/A,0.11
5,Past 5 Years (per annum),6.52%,N/A,N/A,N/A
