,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,014,000","12,960,000","12,394,000","12,413,000"
2,Cost of Revenue,"11,397,000","10,357,000","9,811,000","10,104,000"
3,Gross Profit,"2,617,000","2,603,000","2,583,000","2,309,000"
4,Operating Expenses,,,,
5,Research Development,"103,000","111,000","132,000","169,000"
6,Selling General and Administrative,"604,000","699,000","749,000","716,000"
7,Non Recurring,-,-,-,-
8,Others,-,"12,000","10,000","7,000"
9,Total Operating Expenses,"12,680,000","11,730,000","11,237,000","11,504,000"
10,Operating Income or Loss,"1,334,000","1,230,000","1,157,000","909,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-466,000","-760,000","-743,000","-726,000"
13,Earnings Before Interest and Taxes,"1,334,000","1,230,000","1,157,000","909,000"
14,Interest Expense,"-378,000","-496,000","-499,000","-473,000"
15,Income Before Tax,"868,000","470,000","414,000","183,000"
16,Income Tax Expense,"226,000","544,000","1,476,000","339,000"
17,Minority Interest,"12,000","14,000","26,000","2,085,000"
18,Net Income From Continuing Ops,"642,000","-74,000","-1,062,000","-156,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"121,000","-165,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"642,000","-74,000","-941,000","-322,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"640,000","-127,000","-1,010,000","-391,000"
