,0,1
0,Market Cap (intraday) 5,4.63B
1,Enterprise Value 3,4.74B
2,Trailing P/E ,13.69
3,Forward P/E 1,10.80
4,PEG Ratio (5 yr expected) 1,1.15
5,Price/Sales (ttm),1.26
6,Price/Book (mrq),2.69
7,Enterprise Value/Revenue 3,1.29
8,Enterprise Value/EBITDA 6,8.67
,0,1
0,Fiscal Year Ends ,"Aug 31, 2018"
1,Most Recent Quarter (mrq),"Aug 31, 2018"
,0,1
0,Profit Margin ,9.50%
1,Operating Margin (ttm),12.69%
,0,1
0,Return on Assets (ttm),9.92%
1,Return on Equity (ttm),20.67%
,0,1
0,Revenue (ttm),3.68B
1,Revenue Per Share (ttm),89.98
2,Quarterly Revenue Growth (yoy),10.80%
3,Gross Profit (ttm),1.49B
4,EBITDA ,547.4M
5,Net Income Avi to Common (ttm),349.6M
6,Diluted EPS (ttm),8.52
7,Quarterly Earnings Growth (yoy),19.60%
,0,1
0,Total Cash (mrq),129.1M
1,Total Cash Per Share (mrq),3.26
2,Total Debt (mrq),356.8M
3,Total Debt/Equity (mrq),20.78
4,Current Ratio (mrq),1.77
5,Book Value Per Share (mrq),43.36
,0,1
0,Operating Cash Flow (ttm),353.2M
1,Levered Free Cash Flow (ttm),273.05M
,0,1
0,Beta (3Y Monthly) ,1.57
1,52-Week Change 3,-39.99%
2,S&P500 52-Week Change 3,-10.91%
3,52 Week High 3,186.99
4,52 Week Low 3,103.48
5,50-Day Moving Average 3,118.22
6,200-Day Moving Average 3,132.32
,0,1
0,Avg Vol (3 month) 3,478.52k
1,Avg Vol (10 day) 3,361.8k
2,Shares Outstanding 5,39.69M
3,Float ,39.11M
4,% Held by Insiders 1,1.13%
5,% Held by Institutions 1,102.52%
6,"Shares Short (Nov 30, 2018) 4",2.25M
7,"Short Ratio (Nov 30, 2018) 4",5.24
8,"Short % of Float (Nov 30, 2018) 4",7.20%
9,"Short % of Shares Outstanding (Nov 30, 2018) 4",5.61%
10,"Shares Short (prior month Oct 31, 2018) 4",2.69M
,0,1
0,Forward Annual Dividend Rate 4,0.52
1,Forward Annual Dividend Yield 4,0.46%
2,Trailing Annual Dividend Rate 3,0.52
3,Trailing Annual Dividend Yield 3,0.47%
4,5 Year Average Dividend Yield 4,0.32
5,Payout Ratio 4,6.10%
6,Dividend Date 3,"Nov 1, 2018"
7,Ex-Dividend Date 4,"Oct 17, 2018"
8,Last Split Factor (new per old) 2,1/1
9,Last Split Date 3,"May 2, 2008"
