,0,1,2,3,4
0,Revenue,2/3/2018,1/28/2017,1/30/2016,1/31/2015
1,Total Revenue,-,"39,403,000","39,528,000","40,339,000"
2,Cost of Revenue,-,"29,963,000","30,334,000","31,292,000"
3,Gross Profit,-,"9,440,000","9,194,000","9,047,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"7,911,000","7,493,000","7,612,000","7,550,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"40,186,000","37,456,000","37,946,000","38,842,000"
10,Operating Income or Loss,"1,965,000","1,947,000","1,582,000","1,497,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-121,000","-131,000","-272,000","-110,000"
13,Earnings Before Interest and Taxes,"1,965,000","1,947,000","1,582,000","1,497,000"
14,Interest Expense,-,"-72,000","-80,000","-90,000"
15,Income Before Tax,-,"1,816,000","1,310,000","1,387,000"
16,Income Tax Expense,-,"609,000","503,000","141,000"
17,Minority Interest,-,-,-,"5,000"
18,Net Income From Continuing Ops,-,"1,207,000","807,000","1,246,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"21,000","90,000","-13,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"1,228,000","897,000","1,233,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"1,228,000","897,000","1,233,000"
