,0,1
0,Market Cap (intraday) 5,4.9B
1,Enterprise Value 3,9.77B
2,Trailing P/E ,5.86
3,Forward P/E 1,4.24
4,PEG Ratio (5 yr expected) 1,0.42
5,Price/Sales (ttm),0.55
6,Price/Book (mrq),0.34
7,Enterprise Value/Revenue 3,1.10
8,Enterprise Value/EBITDA 6,9.18
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,9.76%
1,Operating Margin (ttm),11.80%
,0,1
0,Return on Assets (ttm),0.30%
1,Return on Equity (ttm),5.99%
,0,1
0,Revenue (ttm),8.86B
1,Revenue Per Share (ttm),74.25
2,Quarterly Revenue Growth (yoy),110.60%
3,Gross Profit (ttm),3.46B
4,EBITDA ,1.06B
5,Net Income Avi to Common (ttm),865M
6,Diluted EPS (ttm),7.21
7,Quarterly Earnings Growth (yoy),115.90%
,0,1
0,Total Cash (mrq),4.86B
1,Total Cash Per Share (mrq),41.67
2,Total Debt (mrq),9.64B
3,Total Debt/Equity (mrq),66.55
4,Current Ratio (mrq),2.12
5,Book Value Per Share (mrq),122.67
,0,1
0,Operating Cash Flow (ttm),3.06B
1,Levered Free Cash Flow (ttm),464.12M
,0,1
0,Beta (3Y Monthly) ,N/A
1,52-Week Change 3,-16.80%
2,S&P500 52-Week Change 3,9.16%
3,52 Week High 3,52.77
4,52 Week Low 3,28.52
5,50-Day Moving Average 3,39.14
6,200-Day Moving Average 3,37.99
,0,1
0,Avg Vol (3 month) 3,2.04M
1,Avg Vol (10 day) 3,1.43M
2,Shares Outstanding 5,116M
3,Float ,116.44M
4,% Held by Insiders 1,0.19%
5,% Held by Institutions 1,96.40%
6,"Shares Short (Apr 15, 2019) 4",5.13M
7,"Short Ratio (Apr 15, 2019) 4",1.9
8,"Short % of Float (Apr 15, 2019) 4",N/A
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",5.14%
10,"Shares Short (prior month Mar 15, 2019) 4",4.89M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
