,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"22,877,000","17,259,000","13,269,000","16,688,000"
2,Cost of Revenue,"18,891,000","14,046,000","10,123,000","12,193,000"
3,Gross Profit,"3,986,000","3,213,000","3,146,000","4,495,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,699,000","2,535,000","1,938,000","2,115,000"
7,Non Recurring,-,-,-,-
8,Others,-,"15,000","85,000","34,000"
9,Total Operating Expenses,"21,590,000","16,596,000","12,146,000","14,342,000"
10,Operating Income or Loss,"1,287,000","663,000","1,123,000","2,346,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-746,000","-943,000","-942,000","-1,898,000"
13,Earnings Before Interest and Taxes,"1,287,000","663,000","1,123,000","2,346,000"
14,Interest Expense,"-223,000","-131,000","-102,000","-120,000"
15,Income Before Tax,"541,000","-280,000","181,000","448,000"
16,Income Tax Expense,"258,000","71,000","250,000","473,000"
17,Minority Interest,-,"24,464,000","167,000","157,000"
18,Net Income From Continuing Ops,"283,000","-351,000","-351,000","-351,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"195,000","-73,000",-,-
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"195,000","-73,000","-73,000","-73,000"
