,0,1
0,Market Cap (intraday) 5,17.05B
1,Enterprise Value 3,19.42B
2,Trailing P/E ,16.71
3,Forward P/E 1,13.42
4,PEG Ratio (5 yr expected) 1,1.48
5,Price/Sales (ttm),0.80
6,Price/Book (mrq),3.46
7,Enterprise Value/Revenue 3,0.91
8,Enterprise Value/EBITDA 6,12.31
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,4.98%
1,Operating Margin (ttm),5.28%
,0,1
0,Return on Assets (ttm),5.59%
1,Return on Equity (ttm),23.21%
,0,1
0,Revenue (ttm),21.34B
1,Revenue Per Share (ttm),62.89
2,Quarterly Revenue Growth (yoy),14.40%
3,Gross Profit (ttm),4.89B
4,EBITDA ,1.58B
5,Net Income Avi to Common (ttm),1.06B
6,Diluted EPS (ttm),3.10
7,Quarterly Earnings Growth (yoy),147.30%
,0,1
0,Total Cash (mrq),777.22M
1,Total Cash Per Share (mrq),2.37
2,Total Debt (mrq),3.1B
3,Total Debt/Equity (mrq),61.88
4,Current Ratio (mrq),1.16
5,Book Value Per Share (mrq),14.98
,0,1
0,Operating Cash Flow (ttm),1.13B
1,Levered Free Cash Flow (ttm),594.5M
,0,1
0,Beta (3Y Monthly) ,1.43
1,52-Week Change 3,11.13%
2,S&P500 52-Week Change 3,9.16%
3,52 Week High 3,52.41
4,52 Week Low 3,37.45
5,50-Day Moving Average 3,50.60
6,200-Day Moving Average 3,45.61
,0,1
0,Avg Vol (3 month) 3,1.56M
1,Avg Vol (10 day) 3,1.17M
2,Shares Outstanding 5,329.08M
3,Float ,325.16M
4,% Held by Insiders 1,1.01%
5,% Held by Institutions 1,95.91%
6,"Shares Short (Apr 15, 2019) 4",4.03M
7,"Short Ratio (Apr 15, 2019) 4",2.83
8,"Short % of Float (Apr 15, 2019) 4",1.42%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",1.20%
10,"Shares Short (prior month Mar 15, 2019) 4",3.26M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,1/3
9,Last Split Date 3,"Jun 2, 2006"
