,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,12.0,12.0,16.0,17.0
1,Avg. Estimate,0.4,0.4,1.66,1.93
2,Low Estimate,0.34,0.34,1.39,1.66
3,High Estimate,0.44,0.44,1.73,2.18
4,Year Ago EPS,0.21,0.36,1.34,1.66
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,13,13,18,18
1,Avg. Estimate,1.39B,1.41B,5.72B,6.02B
2,Low Estimate,1.35B,1.38B,5.65B,5.91B
3,High Estimate,1.41B,1.43B,5.78B,6.14B
4,Year Ago Sales,1.3B,1.33B,5.42B,5.72B
5,Sales Growth (year/est),6.80%,6.00%,5.40%,5.20%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.26,0.31,0.27,0.44
1,EPS Actual,0.21,0.36,0.33,0.44
2,Difference,-0.05,0.05,0.06,0
3,Surprise %,-19.20%,16.10%,22.20%,0.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.4,0.4,1.66,1.93
1,7 Days Ago,0.4,0.4,1.66,1.93
2,30 Days Ago,0.4,0.4,1.66,1.93
3,60 Days Ago,0.4,0.4,1.7,1.9
4,90 Days Ago,0.39,0.39,1.63,1.92
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,2,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,CCI,Industry,Sector,S&P 500
0,Current Qtr.,90.50%,N/A,N/A,-0.02
1,Next Qtr.,11.10%,N/A,N/A,0.05
2,Current Year,23.90%,N/A,N/A,0.05
3,Next Year,16.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),19.67%,N/A,N/A,0.10
5,Past 5 Years (per annum),4.86%,N/A,N/A,N/A
