,Earnings Estimate,Current Qtr. (Aug 2018),Next Qtr. (Nov 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,16.0,16.0,22.0,23.0
1,Avg. Estimate,2.31,0.74,4.24,4.75
2,Low Estimate,2.27,0.65,4.15,3.92
3,High Estimate,2.36,0.79,4.35,5.1
4,Year Ago EPS,2.29,0.63,3.82,4.24
,Revenue Estimate,Current Qtr. (Aug 2018),Next Qtr. (Nov 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,13,13,18,18
1,Avg. Estimate,5.81B,4.48B,18.86B,20.2B
2,Low Estimate,5.72B,4.39B,18.75B,19.77B
3,High Estimate,5.94B,4.56B,18.97B,20.76B
4,Year Ago Sales,5.51B,4.26B,17.51B,18.86B
5,Sales Growth (year/est),5.40%,5.20%,7.70%,7.10%
,Earnings History,8/30/2017,11/29/2017,2/27/2018,5/30/2018
0,EPS Est.,2.2,0.51,0.43,0.6
1,EPS Actual,2.29,0.63,0.52,0.68
2,Difference,0.09,0.12,0.09,0.08
3,Surprise %,4.10%,23.50%,20.90%,13.30%
,EPS Trend,Current Qtr. (Aug 2018),Next Qtr. (Nov 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,2.31,0.74,4.24,4.75
1,7 Days Ago,2.31,0.74,4.24,4.76
2,30 Days Ago,2.31,0.74,4.24,4.76
3,60 Days Ago,2.31,0.74,4.24,4.78
4,90 Days Ago,2.48,0.79,4.36,4.94
,EPS Revisions,Current Qtr. (Aug 2018),Next Qtr. (Nov 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,1,N/A,1,N/A
1,Up Last 30 Days,1,N/A,2,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,1,1,2
,Growth Estimates,CCL,Industry,Sector,S&P 500
0,Current Qtr.,0.90%,N/A,N/A,0.32
1,Next Qtr.,17.50%,N/A,N/A,0.43
2,Current Year,11.00%,N/A,N/A,0.24
3,Next Year,12.00%,N/A,N/A,0.27
4,Next 5 Years (per annum),12.28%,N/A,N/A,0.11
5,Past 5 Years (per annum),37.86%,N/A,N/A,N/A
