,0,1,2,3,4
0,Revenue,11/30/2017,11/30/2016,11/30/2015,11/30/2014
1,Total Revenue,"17,510,000","16,389,000","15,714,000","15,884,000"
2,Cost of Revenue,"10,197,000","9,383,000","9,447,000","10,368,000"
3,Gross Profit,"7,313,000","7,006,000","6,267,000","5,516,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,265,000","2,197,000","2,087,000","2,054,000"
7,Non Recurring,-,-,-,-
8,Others,"-35,000","47,000","576,000","271,000"
9,Total Operating Expenses,"14,273,000","13,365,000","13,736,000","14,330,000"
10,Operating Income or Loss,"3,237,000","3,024,000","1,978,000","1,554,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-571,000","-196,000","-179,000","-329,000"
13,Earnings Before Interest and Taxes,"3,237,000","3,024,000","1,978,000","1,554,000"
14,Interest Expense,"-198,000","-223,000","-217,000","-288,000"
15,Income Before Tax,"2,666,000","2,828,000","1,799,000","1,225,000"
16,Income Tax Expense,"60,000","49,000","42,000","9,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,606,000","2,779,000","1,757,000","1,216,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,606,000","2,779,000","1,757,000","1,216,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,606,000","2,779,000","1,757,000","1,216,000"
