,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,107,000","9,407,000","7,798,000","12,665,000"
2,Cost of Revenue,"7,030,000","6,586,000","7,288,000","10,235,000"
3,Gross Profit,"3,077,000","2,821,000","510,000","2,430,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"280,000","262,000","240,000","235,000"
7,Non Recurring,-,-,-,-
8,Others,"75,000","332,000","59,000","146,000"
9,Total Operating Expenses,"8,530,000","8,175,000","8,694,000","12,845,000"
10,Operating Income or Loss,"1,577,000","1,232,000","-896,000","-180,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-710,000","-277,000","-3,693,000","-18,918,000"
13,Earnings Before Interest and Taxes,"1,577,000","1,232,000","-896,000","-180,000"
14,Interest Expense,"-576,000","-563,000","-451,000","-332,000"
15,Income Before Tax,"867,000","955,000","-4,589,000","-19,098,000"
16,Income Tax Expense,"-10,000","2,000","-190,000","-4,463,000"
17,Minority Interest,"123,000","124,000","128,000","259,000"
18,Net Income From Continuing Ops,"877,000","953,000","-4,399,000","-14,635,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"873,000","949,000","-4,390,000","-14,567,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"775,000","813,000","-4,915,000","-14,738,000"
