,0,1
0,Market Cap (intraday) 5,19.41B
1,Enterprise Value 3,18.68B
2,Trailing P/E ,110.94
3,Forward P/E 1,44.39
4,PEG Ratio (5 yr expected) 1,2.36
5,Price/Sales (ttm),3.99
6,Price/Book (mrq),13.45
7,Enterprise Value/Revenue 3,3.84
8,Enterprise Value/EBITDA 6,33.42
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,3.63%
1,Operating Margin (ttm),7.34%
,0,1
0,Return on Assets (ttm),10.35%
1,Return on Equity (ttm),12.59%
,0,1
0,Revenue (ttm),4.86B
1,Revenue Per Share (ttm),174.85
2,Quarterly Revenue Growth (yoy),10.40%
3,Gross Profit (ttm),1.59B
4,EBITDA ,559.09M
5,Net Income Avi to Common (ttm),176.55M
6,Diluted EPS (ttm),6.31
7,Quarterly Earnings Growth (yoy),-26.90%
,0,1
0,Total Cash (mrq),676.8M
1,Total Cash Per Share (mrq),24.47
2,Total Debt (mrq),N/A
3,Total Debt/Equity (mrq),N/A
4,Current Ratio (mrq),1.81
5,Book Value Per Share (mrq),52.04
,0,1
0,Operating Cash Flow (ttm),621.55M
1,Levered Free Cash Flow (ttm),315.63M
,0,1
0,Beta (3Y Monthly) ,1.31
1,52-Week Change 3,108.10%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,721.21
4,52 Week Low 3,326.00
5,50-Day Moving Average 3,674.86
6,200-Day Moving Average 3,535.82
,0,1
0,Avg Vol (3 month) 3,668.48k
1,Avg Vol (10 day) 3,570.83k
2,Shares Outstanding 5,27.73M
3,Float ,25.47M
4,% Held by Insiders 1,2.52%
5,% Held by Institutions 1,62.73%
6,"Shares Short (Mar 29, 2019) 4",2.37M
7,"Short Ratio (Mar 29, 2019) 4",3.99
8,"Short % of Float (Mar 29, 2019) 4",9.70%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",8.56%
10,"Shares Short (prior month Feb 28, 2019) 4",2.42M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
