,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,24.0,24.0,17.0,28.0
1,Avg. Estimate,3.76,3.78,13.34,15.23
2,Low Estimate,3.51,3.38,13.0,12.85
3,High Estimate,4.05,4.24,13.75,17.65
4,Year Ago EPS,2.71,3.03,10.62,13.34
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,20,19,23,24
1,Avg. Estimate,5.95B,6.11B,23.78B,24.54B
2,Low Estimate,5.76B,5.81B,23.27B,22.62B
3,High Estimate,6.27B,6.33B,24.3B,26.14B
4,Year Ago Sales,5.29B,5.48B,20.43B,23.78B
5,Sales Growth (year/est),12.70%,11.60%,16.40%,3.20%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,2.46,2.67,2.93,3.63
1,EPS Actual,2.71,3.03,2.43,3.29
2,Difference,0.25,0.36,-0.5,-0.34
3,Surprise %,10.20%,13.50%,-17.10%,-9.40%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,3.76,3.78,13.34,15.23
1,7 Days Ago,3.76,3.78,13.34,15.23
2,30 Days Ago,3.72,3.77,13.29,15.06
3,60 Days Ago,3.72,3.77,13.29,14.97
4,90 Days Ago,3.51,3.54,13.25,14.04
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,5,3,5,7
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,CMI,Industry,Sector,S&P 500
0,Current Qtr.,38.70%,N/A,N/A,0.48
1,Next Qtr.,24.80%,N/A,N/A,0.40
2,Current Year,25.60%,N/A,N/A,0.21
3,Next Year,14.20%,N/A,N/A,0.10
4,Next 5 Years (per annum),12.39%,N/A,N/A,0.11
5,Past 5 Years (per annum),7.71%,N/A,N/A,N/A
