,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"22,220,000","19,686,000","19,042,000","18,877,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"22,220,000","19,686,000","19,042,000","18,877,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"12,424,000","11,782,000","11,201,000","10,723,000"
7,Non Recurring,-,-,-,-
8,Others,"1,940,000","1,833,000","1,640,000","1,527,000"
9,Total Operating Expenses,"14,364,000","13,615,000","12,841,000","12,250,000"
10,Operating Income or Loss,"7,856,000","6,071,000","6,201,000","6,627,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-538,000","-579,000","-717,000","-746,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"7,318,000","5,492,000","5,484,000","5,881,000"
16,Income Tax Expense,"1,293,000","3,375,000","1,714,000","1,869,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"6,025,000","2,117,000","3,770,000","4,012,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-10,000","-135,000","-19,000","38,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"6,015,000","1,982,000","3,751,000","4,050,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"5,710,000","1,704,000","3,513,000","3,872,000"
