,0,1
0,Market Cap (intraday) 5,21.08B
1,Enterprise Value 3,28.31B
2,Trailing P/E ,21.11
3,Forward P/E 1,16.49
4,PEG Ratio (5 yr expected) 1,1.35
5,Price/Sales (ttm),2.45
6,Price/Book (mrq),3.10
7,Enterprise Value/Revenue 3,3.30
8,Enterprise Value/EBITDA 6,15.63
,0,1
0,Fiscal Year Ends ,"Sep 30, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,11.70%
1,Operating Margin (ttm),16.84%
,0,1
0,Return on Assets (ttm),4.93%
1,Return on Equity (ttm),16.20%
,0,1
0,Revenue (ttm),8.59B
1,Revenue Per Share (ttm),52.53
2,Quarterly Revenue Growth (yoy),5.40%
3,Gross Profit (ttm),1.95B
4,EBITDA ,1.81B
5,Net Income Avi to Common (ttm),1B
6,Diluted EPS (ttm),6.08
7,Quarterly Earnings Growth (yoy),53.60%
,0,1
0,Total Cash (mrq),621M
1,Total Cash Per Share (mrq),3.78
2,Total Debt (mrq),7.18B
3,Total Debt/Equity (mrq),105.66
4,Current Ratio (mrq),1.65
5,Book Value Per Share (mrq),41.33
,0,1
0,Operating Cash Flow (ttm),1.04B
1,Levered Free Cash Flow (ttm),617.25M
,0,1
0,Beta (3Y Monthly) ,0.69
1,52-Week Change 3,-4.72%
2,S&P500 52-Week Change 3,5.16%
3,52 Week High 3,142.61
4,52 Week Low 3,127.74
5,50-Day Moving Average 3,137.19
6,200-Day Moving Average 3,136.34
,0,1
0,Avg Vol (3 month) 3,1.39M
1,Avg Vol (10 day) 3,1.66M
2,Shares Outstanding 5,164.37M
3,Float ,163.93M
4,% Held by Insiders 1,0.43%
5,% Held by Institutions 1,69.24%
6,"Shares Short (Oct 15, 2018) 4",6.74M
7,"Short Ratio (Oct 15, 2018) 4",3.93
8,"Short % of Float (Oct 15, 2018) 4",4.13%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",4.10%
10,"Shares Short (prior month Sep 14, 2018) 4",5.94M
,0,1
0,Forward Annual Dividend Rate 4,1.32
1,Forward Annual Dividend Yield 4,1.02%
2,Trailing Annual Dividend Rate 3,1.32
3,Trailing Annual Dividend Yield 3,1.02%
4,5 Year Average Dividend Yield 4,1.35
5,Payout Ratio 4,21.67%
6,Dividend Date 3,"Sep 10, 2018"
7,Ex-Dividend Date 4,"Aug 17, 2018"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
