,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,17.0,15.0,20.0,18.0
1,Avg. Estimate,0.9,1.07,4.35,4.56
2,Low Estimate,0.75,0.69,3.39,3.13
3,High Estimate,0.97,1.42,5.68,7.98
4,Year Ago EPS,0.96,1.09,4.54,4.35
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,6,6,8,7
1,Avg. Estimate,9.04B,9.28B,37.12B,39.9B
2,Low Estimate,8.6B,8.9B,33.92B,34.43B
3,High Estimate,9.72B,9.6B,42.75B,59.95B
4,Year Ago Sales,8.96B,9.24B,38.73B,37.12B
5,Sales Growth (year/est),0.90%,0.50%,-4.10%,7.50%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.73,1.08,1.18,1.01
1,EPS Actual,0.96,1.09,1.36,1.13
2,Difference,0.23,0.01,0.18,0.12
3,Surprise %,31.50%,0.90%,15.30%,11.90%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.9,1.07,4.35,4.56
1,7 Days Ago,0.84,1.03,4.17,4.49
2,30 Days Ago,0.76,0.79,3.78,4.37
3,60 Days Ago,0.76,0.76,3.69,4.3
4,90 Days Ago,0.61,0.63,3.43,4.06
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,2,1,1
1,Up Last 30 Days,12,8,12,9
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,1,N/A
,Growth Estimates,COP,Industry,Sector,S&P 500
0,Current Qtr.,-6.20%,N/A,N/A,-0.00
1,Next Qtr.,-1.80%,N/A,N/A,0.04
2,Current Year,-4.20%,N/A,N/A,0.05
3,Next Year,4.80%,N/A,N/A,0.11
4,Next 5 Years (per annum),-1.40%,N/A,N/A,0.10
5,Past 5 Years (per annum),-8.49%,N/A,N/A,N/A
