,0,1
0,Market Cap (intraday) 5,8.63B
1,Enterprise Value 3,16.52B
2,Trailing P/E ,N/A
3,Forward P/E 1,15.73
4,PEG Ratio (5 yr expected) 1,2.24
5,Price/Sales (ttm),0.95
6,Price/Book (mrq),1.13
7,Enterprise Value/Revenue 3,1.82
8,Enterprise Value/EBITDA 6,12.63
,0,1
0,Fiscal Year Ends ,"Jun 30, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,-13.58%
1,Operating Margin (ttm),6.11%
,0,1
0,Return on Assets (ttm),1.55%
1,Return on Equity (ttm),-13.17%
,0,1
0,Revenue (ttm),9.06B
1,Revenue Per Share (ttm),12.08
2,Quarterly Revenue Growth (yoy),-4.80%
3,Gross Profit (ttm),5.85B
4,EBITDA ,1.31B
5,Net Income Avi to Common (ttm),-1.23B
6,Diluted EPS (ttm),-1.65
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),417.5M
1,Total Cash Per Share (mrq),0.56
2,Total Debt (mrq),7.82B
3,Total Debt/Equity (mrq),96.54
4,Current Ratio (mrq),0.96
5,Book Value Per Share (mrq),10.12
,0,1
0,Operating Cash Flow (ttm),343.6M
1,Levered Free Cash Flow (ttm),356.1M
,0,1
0,Beta (3Y Monthly) ,1.50
1,52-Week Change 3,-33.25%
2,S&P500 52-Week Change 3,9.16%
3,52 Week High 3,17.10
4,52 Week Low 3,5.91
5,50-Day Moving Average 3,11.22
6,200-Day Moving Average 3,9.44
,0,1
0,Avg Vol (3 month) 3,16.72M
1,Avg Vol (10 day) 3,28.62M
2,Shares Outstanding 5,751.39M
3,Float ,696.08M
4,% Held by Insiders 1,41.40%
5,% Held by Institutions 1,72.77%
6,"Shares Short (Apr 15, 2019) 4",148.93M
7,"Short Ratio (Apr 15, 2019) 4",7.4
8,"Short % of Float (Apr 15, 2019) 4",43.89%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",19.82%
10,"Shares Short (prior month Mar 15, 2019) 4",63.95M
,0,1
0,Forward Annual Dividend Rate 4,0.5
1,Forward Annual Dividend Yield 4,4.62%
2,Trailing Annual Dividend Rate 3,0.50
3,Trailing Annual Dividend Yield 3,4.61%
4,5 Year Average Dividend Yield 4,2.27
5,Payout Ratio 4,N/A
6,Dividend Date 3,"Mar 15, 2019"
7,Ex-Dividend Date 4,"Feb 27, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
