,0,1,2,3,4
0,Period Ending,7/30/2017,7/31/2016,8/2/2015,8/3/2014
1,Net Income,"887,000","563,000","666,000","866,000"
2,"Operating Activities, Cash Flows Provided By or Used In",,,,
3,Depreciation,"318,000","308,000","303,000","305,000"
4,Adjustments To Net Income,"87,000","513,000","203,000","-39,000"
5,Changes In Accounts Receivables,"28,000","24,000","12,000","-38,000"
6,Changes In Liabilities,"-48,000","15,000","30,000","-93,000"
7,Changes In Inventories,"46,000","59,000","-18,000","-80,000"
8,Changes In Other Operating Activities,"-27,000","9,000","10,000","-22,000"
9,Total Cash Flow From Operating Activities,"1,291,000","1,491,000","1,206,000","899,000"
10,"Investing Activities, Cash Flows Provided By or Used In",,,,
11,Capital Expenditures,"-338,000","-341,000","-380,000","-347,000"
12,Investments,-,-,-,-
13,Other Cash flows from Investing Activities,"-30,000","-18,000","-6,000","-6,000"
14,Total Cash Flows From Investing Activities,"-368,000","-354,000","-603,000","-134,000"
15,"Financing Activities, Cash Flows Provided By or Used In",,,,
16,Dividends Paid,"-420,000","-390,000","-394,000","-391,000"
17,Sale Purchase of Stock,-,-,-,-
18,Net Borrowings,"-34,000","-547,000","91,000","-494,000"
19,Other Cash Flows from Financing Activities,"-22,000","-21,000","-12,000","18,000"
20,Total Cash Flows From Financing Activities,"-911,000","-1,099,000","-550,000","-925,000"
21,Effect Of Exchange Rate Changes,"11,000","5,000","-32,000","-9,000"
22,Change In Cash and Cash Equivalents,"23,000","43,000","21,000","-169,000"
