,Earnings Estimate,Current Qtr. (Feb 2019),Next Qtr. (May 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,14.0,14.0,15.0,15.0
1,Avg. Estimate,1.71,1.94,7.34,8.27
2,Low Estimate,1.6,1.77,7.05,7.95
3,High Estimate,1.75,2.04,7.43,8.73
4,Year Ago EPS,1.37,1.77,5.93,7.34
,Revenue Estimate,Current Qtr. (Feb 2019),Next Qtr. (May 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,13,13,16,16
1,Avg. Estimate,1.69B,1.78B,6.89B,7.31B
2,Low Estimate,1.68B,1.74B,6.83B,7.21B
3,High Estimate,1.72B,1.8B,6.91B,7.38B
4,Year Ago Sales,1.59B,1.67B,6.48B,6.89B
5,Sales Growth (year/est),6.50%,6.50%,6.30%,6.10%
,Earnings History,2/27/2018,5/30/2018,8/30/2018,11/29/2018
0,EPS Est.,1.27,1.67,1.81,1.7
1,EPS Actual,1.37,1.77,1.93,1.76
2,Difference,0.1,0.1,0.12,0.06
3,Surprise %,7.90%,6.00%,6.60%,3.50%
,EPS Trend,Current Qtr. (Feb 2019),Next Qtr. (May 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.71,1.94,7.34,8.27
1,7 Days Ago,1.71,1.94,7.34,8.27
2,30 Days Ago,1.71,1.94,7.34,8.27
3,60 Days Ago,1.71,1.93,7.33,8.26
4,90 Days Ago,1.69,1.92,7.24,8.17
,EPS Revisions,Current Qtr. (Feb 2019),Next Qtr. (May 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,N/A,1,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,CTAS,Industry,Sector,S&P 500
0,Current Qtr.,24.80%,N/A,N/A,-0.00
1,Next Qtr.,9.60%,N/A,N/A,0.05
2,Current Year,23.80%,N/A,N/A,0.05
3,Next Year,12.70%,N/A,N/A,0.11
4,Next 5 Years (per annum),15.90%,N/A,N/A,0.10
5,Past 5 Years (per annum),19.77%,N/A,N/A,N/A
