,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"30,965,000","26,796,000","19,245,000","10,897,568.061"
2,Cost of Revenue,"6,324,000","4,678,000","4,730,000","3,043,439.819"
3,Gross Profit,"24,641,000","22,118,000","14,515,000","7,854,128.242"
4,Operating Expenses,,,,
5,Research Development,"9,620,000","8,259,000","7,687,000","3,296,692.936"
6,Selling General and Administrative,"12,416,000","10,916,000","8,380,000","4,176,392.361"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"28,360,000","23,853,000","20,797,000","10,516,525.116"
10,Operating Income or Loss,"2,605,000","2,943,000","-1,552,000","381,042.945"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-716,000","516,000","410,000","2,488,540.725"
13,Earnings Before Interest and Taxes,"2,605,000","2,943,000","-1,552,000","381,042.945"
14,Interest Expense,"-1,508,000","-1,286,000","-732,000","-302,425.829"
15,Income Before Tax,"1,889,000","3,459,000","-1,142,000","2,869,583.67"
16,Income Tax Expense,"793,000","1,285,000","482,000","470,188.423"
17,Minority Interest,"2,018,000","1,779,000","3,983,917.792","19,134,198.247"
18,Net Income From Continuing Ops,"1,096,000","2,174,000","-1,624,000","2,399,395.247"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,112,000","2,155,000","-1,418,000","2,507,655.884"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,112,000","2,155,000","-1,418,000","2,507,655.884"
