,0,1
0,Market Cap (intraday) 5,228.32B
1,Enterprise Value 3,253.89B
2,Trailing P/E ,15.49
3,Forward P/E 1,14.41
4,PEG Ratio (5 yr expected) 1,0.23
5,Price/Sales (ttm),1.44
6,Price/Book (mrq),1.48
7,Enterprise Value/Revenue 3,1.60
8,Enterprise Value/EBITDA 6,7.55
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,9.33%
1,Operating Margin (ttm),9.20%
,0,1
0,Return on Assets (ttm),3.60%
1,Return on Equity (ttm),9.74%
,0,1
0,Revenue (ttm),158.9B
1,Revenue Per Share (ttm),83.72
2,Quarterly Revenue Growth (yoy),16.90%
3,Gross Profit (ttm),64.32B
4,EBITDA ,33.64B
5,Net Income Avi to Common (ttm),14.82B
6,Diluted EPS (ttm),7.74
7,Quarterly Earnings Growth (yoy),19.90%
,0,1
0,Total Cash (mrq),9.4B
1,Total Cash Per Share (mrq),4.95
2,Total Debt (mrq),34.46B
3,Total Debt/Equity (mrq),22.14
4,Current Ratio (mrq),1.25
5,Book Value Per Share (mrq),81.22
,0,1
0,Operating Cash Flow (ttm),30.62B
1,Levered Free Cash Flow (ttm),12.07B
,0,1
0,Beta (3Y Monthly) ,0.78
1,52-Week Change 3,-2.68%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,131.08
4,52 Week Low 3,100.22
5,50-Day Moving Average 3,123.68
6,200-Day Moving Average 3,117.58
,0,1
0,Avg Vol (3 month) 3,6.91M
1,Avg Vol (10 day) 3,17.89M
2,Shares Outstanding 5,1.9B
3,Float ,1.9B
4,% Held by Insiders 1,0.05%
5,% Held by Institutions 1,67.48%
6,"Shares Short (Mar 29, 2019) 4",17.17M
7,"Short Ratio (Mar 29, 2019) 4",2.85
8,"Short % of Float (Mar 29, 2019) 4",N/A
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",0.90%
10,"Shares Short (prior month Feb 28, 2019) 4",15.86M
,0,1
0,Forward Annual Dividend Rate 4,4.76
1,Forward Annual Dividend Yield 4,3.86%
2,Trailing Annual Dividend Rate 3,4.48
3,Trailing Annual Dividend Yield 3,3.72%
4,5 Year Average Dividend Yield 4,3.97
5,Payout Ratio 4,57.88%
6,Dividend Date 3,"Mar 11, 2019"
7,Ex-Dividend Date 4,"Feb 14, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Sep 13, 2004"
