,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,25.0,24.0,27.0,29.0
1,Avg. Estimate,1.06,1.17,4.29,6.5
2,Low Estimate,0.64,0.89,2.41,4.29
3,High Estimate,1.75,1.86,5.03,9.53
4,Year Ago EPS,0.45,0.66,2.09,4.29
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,20,20,18,22
1,Avg. Estimate,1.1B,1.21B,4.14B,5.73B
2,Low Estimate,1B,1.09B,3.89B,5.01B
3,High Estimate,1.27B,1.45B,4.54B,6.5B
4,Year Ago Sales,627M,780M,2.59B,4.14B
5,Sales Growth (year/est),75.60%,55.50%,60.10%,38.40%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.27,0.45,0.79,0.95
1,EPS Actual,0.45,0.66,1,1.24
2,Difference,0.18,0.21,0.21,0.29
3,Surprise %,66.70%,46.70%,26.60%,30.50%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.06,1.17,4.29,6.5
1,7 Days Ago,1.08,1.17,4.37,6.38
2,30 Days Ago,1.09,1.14,4.46,6.18
3,60 Days Ago,1.15,1.18,4.59,6.02
4,90 Days Ago,1.06,1.24,4.29,6.22
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,2,3,4,6
1,Up Last 30 Days,9,13,15,19
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,1,1,N/A
,Growth Estimates,CXO,Industry,Sector,S&P 500
0,Current Qtr.,135.60%,N/A,N/A,0.48
1,Next Qtr.,77.30%,N/A,N/A,0.40
2,Current Year,105.30%,N/A,N/A,0.21
3,Next Year,51.50%,N/A,N/A,0.10
4,Next 5 Years (per annum),78.01%,N/A,N/A,0.11
5,Past 5 Years (per annum),-10.35%,N/A,N/A,N/A
