,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,18.0,18.0,22.0,22.0
1,Avg. Estimate,1.36,1.72,6.45,6.78
2,Low Estimate,1.3,1.63,6.4,6.6
3,High Estimate,1.39,1.8,6.54,7.19
4,Year Ago EPS,1.52,1.75,6.31,6.45
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,16,16,20,20
1,Avg. Estimate,1.87B,1.94B,7.68B,7.86B
2,Low Estimate,1.83B,1.91B,7.64B,7.68B
3,High Estimate,1.89B,1.99B,7.77B,8.02B
4,Year Ago Sales,1.88B,1.92B,7.53B,7.68B
5,Sales Growth (year/est),-0.70%,1.30%,2.00%,2.40%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.49,1.76,1.68,1.37
1,EPS Actual,1.52,1.75,1.68,1.36
2,Difference,0.03,-0.01,0,-0.01
3,Surprise %,2.00%,-0.60%,0.00%,-0.70%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.36,1.72,6.45,6.78
1,7 Days Ago,1.36,1.72,6.45,6.78
2,30 Days Ago,1.37,1.72,6.45,6.78
3,60 Days Ago,1.4,1.72,6.51,6.78
4,90 Days Ago,1.58,1.76,6.61,6.9
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,1,1,1
,Growth Estimates,DGX,Industry,Sector,S&P 500
0,Current Qtr.,-10.50%,N/A,N/A,-0.02
1,Next Qtr.,-1.70%,N/A,N/A,0.04
2,Current Year,2.20%,N/A,N/A,0.05
3,Next Year,5.10%,N/A,N/A,0.11
4,Next 5 Years (per annum),5.61%,N/A,N/A,0.10
5,Past 5 Years (per annum),10.64%,N/A,N/A,N/A
