,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"6,873,000","6,497,000","6,394,000","6,265,000"
2,Cost of Revenue,"2,624,000","2,367,000","2,283,000","2,084,000"
3,Gross Profit,"4,249,000","4,130,000","4,111,000","4,181,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,689,000","1,690,000","1,669,000","1,692,000"
7,Non Recurring,-,-,-,-
8,Others,"7,000","-4,000","-4,000","-4,000"
9,Total Operating Expenses,"4,650,000","4,375,000","4,282,000","4,105,000"
10,Operating Income or Loss,"2,223,000","2,122,000","2,112,000","2,160,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,360,000","-451,000","-553,000","-413,000"
13,Earnings Before Interest and Taxes,"2,223,000","2,122,000","2,112,000","2,160,000"
14,Interest Expense,"-458,000","-353,000","-341,000","-328,000"
15,Income Before Tax,"-137,000","1,671,000","1,559,000","1,747,000"
16,Income Tax Expense,"176,000","453,000","511,000","610,000"
17,Minority Interest,"413,000","243,000","241,000","749,000"
18,Net Income From Continuing Ops,"-313,000","1,218,000","1,048,000","1,137,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-337,000","1,194,000","1,034,000","1,139,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-296,000","1,055,000","921,000","902,000"
