,0,1
0,Market Cap (intraday) 5,14.72B
1,Enterprise Value 3,15.34B
2,Trailing P/E ,22.13
3,Forward P/E 1,18.53
4,PEG Ratio (5 yr expected) 1,1.68
5,Price/Sales (ttm),1.75
6,Price/Book (mrq),6.36
7,Enterprise Value/Revenue 3,1.82
8,Enterprise Value/EBITDA 6,13.15
,0,1
0,Fiscal Year Ends ,"May 27, 2018"
1,Most Recent Quarter (mrq),"Feb 24, 2019"
,0,1
0,Profit Margin ,8.08%
1,Operating Margin (ttm),10.23%
,0,1
0,Return on Assets (ttm),9.65%
1,Return on Equity (ttm),30.86%
,0,1
0,Revenue (ttm),8.42B
1,Revenue Per Share (ttm),68.07
2,Quarterly Revenue Growth (yoy),5.50%
3,Gross Profit (ttm),1.75B
4,EBITDA ,1.17B
5,Net Income Avi to Common (ttm),685.3M
6,Diluted EPS (ttm),5.41
7,Quarterly Earnings Growth (yoy),2.70%
,0,1
0,Total Cash (mrq),302.9M
1,Total Cash Per Share (mrq),2.46
2,Total Debt (mrq),927.4M
3,Total Debt/Equity (mrq),40.05
4,Current Ratio (mrq),0.48
5,Book Value Per Share (mrq),18.83
,0,1
0,Operating Cash Flow (ttm),1.18B
1,Levered Free Cash Flow (ttm),483.14M
,0,1
0,Beta (3Y Monthly) ,0.66
1,52-Week Change 3,26.06%
2,S&P500 52-Week Change 3,4.25%
3,52 Week High 3,125.33
4,52 Week Low 3,93.00
5,50-Day Moving Average 3,119.34
6,200-Day Moving Average 3,112.21
,0,1
0,Avg Vol (3 month) 3,1.36M
1,Avg Vol (10 day) 3,1.08M
2,Shares Outstanding 5,122.98M
3,Float ,122.75M
4,% Held by Insiders 1,0.19%
5,% Held by Institutions 1,93.19%
6,"Shares Short (May 31, 2019) 4",6.94M
7,"Short Ratio (May 31, 2019) 4",5.15
8,"Short % of Float (May 31, 2019) 4",N/A
9,"Short % of Shares Outstanding (May 31, 2019) 4",5.85%
10,"Shares Short (prior month Apr 30, 2019) 4",6.66M
,0,1
0,Forward Annual Dividend Rate 4,3
1,Forward Annual Dividend Yield 4,2.58%
2,Trailing Annual Dividend Rate 3,2.88
3,Trailing Annual Dividend Yield 3,2.42%
4,5 Year Average Dividend Yield 4,3.11
5,Payout Ratio 4,52.84%
6,Dividend Date 3,"May 1, 2019"
7,Ex-Dividend Date 4,"Apr 9, 2019"
8,Last Split Factor (new per old) 2,8939/10000
9,Last Split Date 3,"Nov 10, 2015"
