,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,21.0,20.0,23.0,23.0
1,Avg. Estimate,0.71,0.92,4.13,4.76
2,Low Estimate,0.64,0.82,3.81,4.15
3,High Estimate,0.76,1.02,4.26,5.07
4,Year Ago EPS,0.55,0.81,3.36,4.13
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,15,15,21,20
1,Avg. Estimate,20.23B,21.34B,87.36B,90.62B
2,Low Estimate,19.44B,19.7B,85.68B,88.17B
3,High Estimate,20.59B,22.23B,88.58B,93.45B
4,Year Ago Sales,18.29B,20.07B,79.53B,87.36B
5,Sales Growth (year/est),10.60%,6.40%,9.80%,3.70%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.42,0.67,1.1,1.3
1,EPS Actual,0.55,0.81,1.12,1.37
2,Difference,0.13,0.14,0.02,0.07
3,Surprise %,31.00%,20.90%,1.80%,5.40%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,0.71,0.92,4.13,4.76
1,7 Days Ago,0.72,0.92,4.13,4.76
2,30 Days Ago,0.72,0.93,4.14,4.83
3,60 Days Ago,0.74,0.97,4.19,4.89
4,90 Days Ago,0.77,0.99,4.17,4.91
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,4,1,4
,Growth Estimates,DWDP,Industry,Sector,S&P 500
0,Current Qtr.,29.10%,N/A,N/A,0.48
1,Next Qtr.,13.60%,N/A,N/A,0.40
2,Current Year,22.90%,N/A,N/A,0.21
3,Next Year,15.30%,N/A,N/A,0.10
4,Next 5 Years (per annum),7.00%,N/A,N/A,0.11
5,Past 5 Years (per annum),N/A,N/A,N/A,N/A
