,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"13,838,300","13,152,800","13,545,100","14,280,500"
2,Cost of Revenue,"7,361,100","6,832,900","7,142,900","7,664,800"
3,Gross Profit,"6,477,200","6,319,900","6,402,200","6,615,700"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,417,100","4,299,400","4,345,500","4,577,600"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"11,778,200","11,132,300","11,488,400","12,242,400"
10,Operating Income or Loss,"2,060,100","2,020,500","2,056,700","2,038,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-295,300","-370,100","-739,000","-339,700"
13,Earnings Before Interest and Taxes,"2,060,100","2,020,500","2,056,700","2,038,100"
14,Interest Expense,"-252,700","-285,400","-253,700","-268,000"
15,Income Before Tax,"1,764,800","1,650,400","1,317,700","1,698,400"
16,Income Tax Expense,"242,400","403,300","300,500","476,200"
17,Minority Interest,"70,200","69,800","70,500","66,200"
18,Net Income From Continuing Ops,"1,522,400","1,247,100","1,017,200","1,222,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,508,400","1,229,600","1,002,100","1,202,800"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,508,400","1,229,600","1,002,100","1,202,800"
