,0,1
0,Market Cap (intraday) 5,23.64B
1,Enterprise Value 3,40.78B
2,Trailing P/E ,14.99
3,Forward P/E 1,17.51
4,PEG Ratio (5 yr expected) 1,5.91
5,Price/Sales (ttm),1.93
6,Price/Book (mrq),1.51
7,Enterprise Value/Revenue 3,3.33
8,Enterprise Value/EBITDA 6,10.47
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,12.90%
1,Operating Margin (ttm),20.56%
,0,1
0,Return on Assets (ttm),3.20%
1,Return on Equity (ttm),10.47%
,0,1
0,Revenue (ttm),12.23B
1,Revenue Per Share (ttm),39.49
2,Quarterly Revenue Growth (yoy),2.40%
3,Gross Profit (ttm),6.11B
4,EBITDA ,3.9B
5,Net Income Avi to Common (ttm),1.58B
6,Diluted EPS (ttm),5.07
7,Quarterly Earnings Growth (yoy),7.40%
,0,1
0,Total Cash (mrq),866M
1,Total Cash Per Share (mrq),2.78
2,Total Debt (mrq),17.91B
3,Total Debt/Equity (mrq),114.40
4,Current Ratio (mrq),0.63
5,Book Value Per Share (mrq),50.31
,0,1
0,Operating Cash Flow (ttm),2.83B
1,Levered Free Cash Flow (ttm),-1.08B
,0,1
0,Beta (3Y Monthly) ,-0.09
1,52-Week Change 3,-9.99%
2,S&P500 52-Week Change 3,4.00%
3,52 Week High 3,89.70
4,52 Week Low 3,71.12
5,50-Day Moving Average 3,77.32
6,200-Day Moving Average 3,77.45
,0,1
0,Avg Vol (3 month) 3,1.79M
1,Avg Vol (10 day) 3,2.03M
2,Shares Outstanding 5,311.1M
3,Float ,310.75M
4,% Held by Insiders 1,0.17%
5,% Held by Institutions 1,61.05%
6,"Shares Short (Oct 15, 2018) 4",14.74M
7,"Short Ratio (Oct 15, 2018) 4",7.13
8,"Short % of Float (Oct 15, 2018) 4",4.75%
9,"Short % of Shares Outstanding (Oct 15, 2018) 4",4.74%
10,"Shares Short (prior month Sep 14, 2018) 4",13.79M
,0,1
0,Forward Annual Dividend Rate 4,2.86
1,Forward Annual Dividend Yield 4,3.70%
2,Trailing Annual Dividend Rate 3,2.81
3,Trailing Annual Dividend Yield 3,3.64%
4,5 Year Average Dividend Yield 4,3.81
5,Payout Ratio 4,55.31%
6,Dividend Date 3,"Dec 17, 2018"
7,Ex-Dividend Date 4,"Nov 13, 2018"
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Jul 3, 1989"
