,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,14.0,14.0,14.0,17.0
1,Avg. Estimate,0.74,0.12,1.4,0.29
2,Low Estimate,0.46,-0.1,0.72,-1.92
3,High Estimate,0.97,0.47,2.97,1.87
4,Year Ago EPS,1.01,0.44,1.7,1.4
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,6,6,7,8
1,Avg. Estimate,1.21B,962.01M,4.2B,4.26B
2,Low Estimate,1.16B,935M,4.09B,3.9B
3,High Estimate,1.27B,1.02B,4.29B,4.65B
4,Year Ago Sales,1.43B,1.05B,4.56B,4.2B
5,Sales Growth (year/est),-15.90%,-8.80%,-7.80%,1.40%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.99,0.47,0.42,0.78
1,EPS Actual,1.01,0.44,0.35,0.79
2,Difference,0.02,-0.03,-0.07,0.01
3,Surprise %,2.00%,-6.40%,-16.70%,1.30%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.74,0.12,1.4,0.29
1,7 Days Ago,0.76,0.12,1.43,0.31
2,30 Days Ago,0.79,0.17,1.52,0.28
3,60 Days Ago,0.98,0.14,1.35,0.47
4,90 Days Ago,1.34,0.24,1.8,1.47
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,1
1,Up Last 30 Days,5,3,2,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,2,2,1
,Growth Estimates,EQT,Industry,Sector,S&P 500
0,Current Qtr.,-26.70%,N/A,N/A,-0.02
1,Next Qtr.,-72.70%,N/A,N/A,0.04
2,Current Year,-17.60%,N/A,N/A,0.05
3,Next Year,-79.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),-42.32%,N/A,N/A,0.10
5,Past 5 Years (per annum),-4.11%,N/A,N/A,N/A
