,0,1
0,Market Cap (intraday) 5,5.21B
1,Enterprise Value 3,15.92B
2,Trailing P/E ,N/A
3,Forward P/E 1,70.48
4,PEG Ratio (5 yr expected) 1,-0.37
5,Price/Sales (ttm),1.10
6,Price/Book (mrq),0.47
7,Enterprise Value/Revenue 3,3.36
8,Enterprise Value/EBITDA 6,6.70
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,-47.39%
1,Operating Margin (ttm),16.12%
,0,1
0,Return on Assets (ttm),1.90%
1,Return on Equity (ttm),-16.21%
,0,1
0,Revenue (ttm),4.74B
1,Revenue Per Share (ttm),18.15
2,Quarterly Revenue Growth (yoy),48.60%
3,Gross Profit (ttm),2.84B
4,EBITDA ,2.37B
5,Net Income Avi to Common (ttm),-2.38B
6,Diluted EPS (ttm),-8.60
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),3.49M
1,Total Cash Per Share (mrq),0.01
2,Total Debt (mrq),5.5B
3,Total Debt/Equity (mrq),50.17
4,Current Ratio (mrq),0.84
5,Book Value Per Share (mrq),43.06
,0,1
0,Operating Cash Flow (ttm),2.98B
1,Levered Free Cash Flow (ttm),-1.41B
,0,1
0,Beta (3Y Monthly) ,0.61
1,52-Week Change 3,-18.53%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,31.24
4,52 Week Low 3,16.29
5,50-Day Moving Average 3,20.28
6,200-Day Moving Average 3,19.98
,0,1
0,Avg Vol (3 month) 3,4.15M
1,Avg Vol (10 day) 3,2.96M
2,Shares Outstanding 5,254.76M
3,Float ,252.76M
4,% Held by Insiders 1,0.78%
5,% Held by Institutions 1,107.47%
6,"Shares Short (Mar 29, 2019) 4",11.44M
7,"Short Ratio (Mar 29, 2019) 4",2.68
8,"Short % of Float (Mar 29, 2019) 4",4.80%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",4.49%
10,"Shares Short (prior month Feb 28, 2019) 4",14.47M
,0,1
0,Forward Annual Dividend Rate 4,0.12
1,Forward Annual Dividend Yield 4,0.66%
2,Trailing Annual Dividend Rate 3,0.12
3,Trailing Annual Dividend Yield 3,0.56%
4,5 Year Average Dividend Yield 4,0.22
5,Payout Ratio 4,N/A
6,Dividend Date 3,"Jun 1, 2019"
7,Ex-Dividend Date 4,"May 14, 2019"
8,Last Split Factor (new per old) 2,1000/1837
9,Last Split Date 3,"Nov 13, 2018"
