,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,6.0,6.0,8.0,9.0
1,Avg. Estimate,1.17,1.25,5.02,5.58
2,Low Estimate,1.09,1.19,4.69,5.19
3,High Estimate,1.22,1.29,5.47,6.02
4,Year Ago EPS,1.38,1.52,5.9,5.02
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,17,17,20,20
1,Avg. Estimate,352.13M,355.94M,1.43B,1.49B
2,Low Estimate,348M,352.2M,1.42B,1.46B
3,High Estimate,354.79M,360.13M,1.45B,1.53B
4,Year Ago Sales,344.95M,346.53M,1.39B,1.43B
5,Sales Growth (year/est),2.10%,2.70%,3.00%,4.30%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,1.1,1.13,1.11,1.13
1,EPS Actual,1.38,1.52,1.22,1.78
2,Difference,0.28,0.39,0.11,0.65
3,Surprise %,25.50%,34.50%,9.90%,57.50%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,1.17,1.25,5.02,5.58
1,7 Days Ago,1.17,1.25,5.02,5.58
2,30 Days Ago,1.17,1.25,5.02,5.58
3,60 Days Ago,1.17,1.25,4.93,5.49
4,90 Days Ago,1.19,1.26,4.97,5.59
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,1,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,ESS,Industry,Sector,S&P 500
0,Current Qtr.,-15.20%,N/A,N/A,-0.02
1,Next Qtr.,-17.80%,N/A,N/A,0.04
2,Current Year,-14.90%,N/A,N/A,0.05
3,Next Year,11.20%,N/A,N/A,0.11
4,Next 5 Years (per annum),7.90%,N/A,N/A,0.10
5,Past 5 Years (per annum),34.42%,N/A,N/A,N/A
