,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,11.0,7.0,13.0,13.0
1,Avg. Estimate,2.94,0.67,6.56,6.03
2,Low Estimate,2.31,0.07,6.16,5.74
3,High Estimate,3.25,0.89,6.9,6.52
4,Year Ago EPS,2.35,0.76,7.2,6.56
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,4,3,9,10
1,Avg. Estimate,3.34B,3.02B,11.58B,11.75B
2,Low Estimate,2.85B,2.87B,10.64B,10.86B
3,High Estimate,3.6B,3.24B,12.34B,12.8B
4,Year Ago Sales,3.24B,2.62B,11.07B,11.58B
5,Sales Growth (year/est),3.00%,15.00%,4.60%,1.40%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,2.19,0.46,1.28,1.31
1,EPS Actual,2.35,0.76,1.16,1.79
2,Difference,0.16,0.3,-0.12,0.48
3,Surprise %,7.30%,65.20%,-9.40%,36.60%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,2.94,0.67,6.56,6.03
1,7 Days Ago,2.94,0.67,6.56,6.03
2,30 Days Ago,2.84,0.71,6.48,6.05
3,60 Days Ago,2.83,0.71,6.5,6.06
4,90 Days Ago,2.83,0.88,6.21,6.0
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,2,1,2,2
1,Up Last 30 Days,5,3,5,3
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,1
,Growth Estimates,ETR,Industry,Sector,S&P 500
0,Current Qtr.,25.10%,N/A,N/A,0.48
1,Next Qtr.,-11.80%,N/A,N/A,0.40
2,Current Year,-8.90%,N/A,N/A,0.21
3,Next Year,-8.10%,N/A,N/A,0.10
4,Next 5 Years (per annum),-3.65%,N/A,N/A,0.11
5,Past 5 Years (per annum),0.20%,N/A,N/A,N/A
