,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,16.0,13.0,20.0,19.0
1,Avg. Estimate,0.88,0.58,3.12,3.13
2,Low Estimate,0.85,0.47,3.05,2.87
3,High Estimate,1.02,0.68,3.2,3.42
4,Year Ago EPS,0.85,0.55,2.6,3.12
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,9,8,11,15
1,Avg. Estimate,8.63B,6.91B,32.57B,32.2B
2,Low Estimate,6.98B,5.83B,25.73B,25.75B
3,High Estimate,9.72B,8.47B,35.89B,36.35B
4,Year Ago Sales,8.77B,8.38B,33.53B,32.57B
5,Sales Growth (year/est),-1.50%,-17.50%,-2.90%,-1.20%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.86,0.6,0.91,0.61
1,EPS Actual,0.85,0.55,0.96,0.71
2,Difference,-0.01,-0.05,0.05,0.1
3,Surprise %,-1.20%,-8.30%,5.50%,16.40%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,0.88,0.58,3.12,3.13
1,7 Days Ago,0.88,0.58,3.12,3.13
2,30 Days Ago,0.88,0.57,3.12,3.1
3,60 Days Ago,0.89,0.56,3.11,3.1
4,90 Days Ago,0.94,0.57,3.09,3.09
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,1,N/A,1,4
1,Up Last 30 Days,5,3,6,6
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,2
,Growth Estimates,EXC,Industry,Sector,S&P 500
0,Current Qtr.,3.50%,N/A,N/A,0.48
1,Next Qtr.,5.50%,N/A,N/A,0.40
2,Current Year,20.00%,N/A,N/A,0.21
3,Next Year,0.30%,N/A,N/A,0.10
4,Next 5 Years (per annum),5.10%,N/A,N/A,0.11
5,Past 5 Years (per annum),4.02%,N/A,N/A,N/A
