,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,3.0,3.0,6.0,6.0
1,Avg. Estimate,0.69,0.74,3.0,3.19
2,Low Estimate,0.67,0.72,2.93,3.04
3,High Estimate,0.71,0.77,3.06,3.36
4,Year Ago EPS,0.7,0.75,3.27,3.0
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,7,7,7,9
1,Avg. Estimate,276.97M,284.3M,1.12B,1.21B
2,Low Estimate,262.5M,270.88M,1.08B,1.1B
3,High Estimate,307M,315.89M,1.28B,1.39B
4,Year Ago Sales,247.89M,258.13M,1.04B,1.12B
5,Sales Growth (year/est),11.70%,10.10%,7.70%,7.90%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.65,0.69,0.75,0.75
1,EPS Actual,0.7,0.75,1.02,0.8
2,Difference,0.05,0.06,0.27,0.05
3,Surprise %,7.70%,8.70%,36.00%,6.70%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.69,0.74,3.0,3.19
1,7 Days Ago,0.69,0.74,3.0,3.19
2,30 Days Ago,0.69,0.74,3.04,3.26
3,60 Days Ago,0.69,0.74,3.07,3.25
4,90 Days Ago,0.69,0.74,3.09,3.25
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,1,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,EXR,Industry,Sector,S&P 500
0,Current Qtr.,-1.40%,N/A,N/A,-0.00
1,Next Qtr.,-1.30%,N/A,N/A,0.04
2,Current Year,-8.30%,N/A,N/A,0.05
3,Next Year,6.30%,N/A,N/A,0.11
4,Next 5 Years (per annum),6.00%,N/A,N/A,0.10
5,Past 5 Years (per annum),25.11%,N/A,N/A,N/A
