,0,1
0,Market Cap (intraday) 5,18.98B
1,Enterprise Value 3,19.15B
2,Trailing P/E ,25.31
3,Forward P/E 1,21.67
4,PEG Ratio (5 yr expected) 1,1.22
5,Price/Sales (ttm),3.82
6,Price/Book (mrq),8.23
7,Enterprise Value/Revenue 3,3.86
8,Enterprise Value/EBITDA 6,16.85
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,15.14%
1,Operating Margin (ttm),20.11%
,0,1
0,Return on Assets (ttm),20.03%
1,Return on Equity (ttm),34.18%
,0,1
0,Revenue (ttm),4.97B
1,Revenue Per Share (ttm),17.30
2,Quarterly Revenue Growth (yoy),13.10%
3,Gross Profit (ttm),2.4B
4,EBITDA ,1.14B
5,Net Income Avi to Common (ttm),751.9M
6,Diluted EPS (ttm),2.62
7,Quarterly Earnings Growth (yoy),10.80%
,0,1
0,Total Cash (mrq),167.2M
1,Total Cash Per Share (mrq),0.58
2,Total Debt (mrq),500M
3,Total Debt/Equity (mrq),21.71
4,Current Ratio (mrq),5.30
5,Book Value Per Share (mrq),8.05
,0,1
0,Operating Cash Flow (ttm),674.2M
1,Levered Free Cash Flow (ttm),339.51M
,0,1
0,Beta (3Y Monthly) ,1.59
1,52-Week Change 3,18.40%
2,S&P500 52-Week Change 3,7.91%
3,52 Week High 3,66.59
4,52 Week Low 3,47.37
5,50-Day Moving Average 3,62.84
6,200-Day Moving Average 3,57.36
,0,1
0,Avg Vol (3 month) 3,2.37M
1,Avg Vol (10 day) 3,1.49M
2,Shares Outstanding 5,286.16M
3,Float ,284.88M
4,% Held by Insiders 1,0.25%
5,% Held by Institutions 1,88.37%
6,"Shares Short (Mar 15, 2019) 4",22.56M
7,"Short Ratio (Mar 15, 2019) 4",12.08
8,"Short % of Float (Mar 15, 2019) 4",8.96%
9,"Short % of Shares Outstanding (Mar 15, 2019) 4",7.88%
10,"Shares Short (prior month Feb 15, 2019) 4",23.71M
,0,1
0,Forward Annual Dividend Rate 4,1.72
1,Forward Annual Dividend Yield 4,2.61%
2,Trailing Annual Dividend Rate 3,1.54
3,Trailing Annual Dividend Yield 3,2.34%
4,5 Year Average Dividend Yield 4,2.57
5,Payout Ratio 4,58.78%
6,Dividend Date 3,"Feb 27, 2019"
7,Ex-Dividend Date 4,"Jan 30, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"May 23, 2011"
