,stock,price,net_change,volume,H/L,52 H/L,pe,market_cap
0,WaltDisneyCompanyTheDISNYSE,$114.09,1.34,4747467,$114.095$112.40,$114.68$96.20,15.21,170053769
1,ComcastCorporationCMCSANASDAQ-GS,$35.41,0.77,16472428,$35.43$34.73,$44$30.43,6.98,162609660
2,CharterCommunicationsInc.CHTRNASDAQ-GS,$303.66,9.46,1198952,$305$293.74,$408.83$250.10,8.3,72108015
3,Twenty-FirstCenturyFoxInc.FOXANASDAQ-GS,$45.42,0.39,8889924,$45.62$44.96,$50.145$24.81,20.93,47874179
4,Twenty-FirstCenturyFoxInc.FOXNASDAQ-GS,$44.92,0.26,4918129,$45.10$44.51,$49.65$24.30,20.7,35869563
5,RogersCommunicationInc.RCINYSE,$51.26,0.03,219166,$51.35$50.85,$54.95$43.11,18.24,20627280
6,LibertyGlobalplcLBTYKNASDAQ-GS,$27.40,0.02,2520736,$27.69$27.145,$37.86$25.95,NE,15622055
7,LibertyBroadbandCorporationLBRDKNASDAQ-GS,$79.43,1.83,416366,$79.91$77.805,$104.66$68.33,NE,12152790
8,ViacomInc.VIABNASDAQ-GS,$29.09,0.49,1454912,$29.21$28.51,$35.5499$22.13,5.43,10268014
9,ShawCommunicationsInc.SJRNYSE,$20.77,0.19,241481,$20.78$20.56,$23.44$18.50,37.76,9852270
10,DISHNetworkCorporationDISHNASDAQ-GS,$34.20,4.34,8960883,$34.31$30.99,$63.725$28.795,8.55,7829919
11,LibertyGlobalplcLBTYANASDAQ-GS,$28.58,0.01,700578,$28.89$28.31,$39.73$27,NE,6201088
12,DiscoveryInc.DISCKNASDAQ-GS,$24.94,0.50,1014734,$25.03$24.37,$26.64$14.99,NE,5449939
13,AlticeUSAInc.ATUSNYSE,$17.25,0.69,7472472,$17.90$16.40,$32.93$16.25,6.87,4260440
14,DiscoveryInc.DISCANASDAQ-GS,$27.06,0.50,3728635,$27.155$26.37,$28.78$15.99,NE,4222848
15,CableOneInc.CABONYSE,$724.80,11.89,34095,$725$713.46,$788$597.40,17.09,4150930
16,AMCNetworksInc.AMCXNASDAQ-GS,$60.56,2.08,1046070,$60.99$58.57,$69.02$46.89,7.53,2784246
17,LibertyLatinAmericaLtd.LILAKNASDAQ-GS,$18.98,0.11,268859,$19.16$18.85,$23.92$17.90,NE,2293145
18,RokuInc.ROKUNASDAQ-GS,$46.47,0.01,2989237,$47.30$45.60,$58.80$15.75,NE,2272662
19,LibertyBroadbandCorporationLBRDANASDAQ-GS,$79.29,1.98,116162,$79.56$77.25,$104.35$67.75,7.12,2085803
20,ViacomInc.VIANASDAQ-GS,$33.65,0.15,53780,$33.85$33.30,$42.55$28.20,6.28,1663353
21,MSGNetworksInc.MSGNNYSE,$23.15,0.15,232464,$23.45$22.95,$26.30$16.15,6.21,1428911
22,WideOpenWestInc.WOWNYSE,$10.91,0.14,281381,$11.05$10.76,$17.09$6.025,NE,930427
23,LibertyLatinAmericaLtd.LILANASDAQ-GS,$18.68,0.10,99630,$18.98$18.58,$24$18.26,NE,904878
24,LibertyGlobalplcLBTYBNASDAQ-GS,$28.62,unch,,nana,$39$28,NE,317768
