,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,10.0,10.0,12.0,11.0
1,Avg. Estimate,1.48,1.32,5.65,5.91
2,Low Estimate,1.39,1.25,5.58,5.75
3,High Estimate,1.52,1.44,5.71,6.04
4,Year Ago EPS,1.16,1.12,4.64,5.65
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,9,9,11,10
1,Avg. Estimate,4.75B,4.53B,18.69B,19.25B
2,Low Estimate,4.66B,4.41B,18.53B,19.02B
3,High Estimate,5.08B,4.88B,19.37B,19.5B
4,Year Ago Sales,4.1B,4.21B,16.31B,18.69B
5,Sales Growth (year/est),16.10%,7.70%,14.60%,3.00%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,1.28,1.09,1.31,1.58
1,EPS Actual,1.16,1.12,1.27,1.59
2,Difference,-0.12,0.03,-0.04,0.01
3,Surprise %,-9.40%,2.80%,-3.10%,0.60%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,1.48,1.32,5.65,5.91
1,7 Days Ago,1.48,1.32,5.65,5.91
2,30 Days Ago,1.48,1.32,5.65,5.91
3,60 Days Ago,1.48,1.32,5.65,5.91
4,90 Days Ago,1.49,1.29,5.64,5.91
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,N/A,N/A,N/A,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,GPC,Industry,Sector,S&P 500
0,Current Qtr.,27.60%,N/A,N/A,0.32
1,Next Qtr.,17.90%,N/A,N/A,0.43
2,Current Year,21.80%,N/A,N/A,0.24
3,Next Year,4.60%,N/A,N/A,0.27
4,Next 5 Years (per annum),12.60%,N/A,N/A,0.11
5,Past 5 Years (per annum),3.03%,N/A,N/A,N/A
