,0,1
0,Market Cap (intraday) 5,74.23B
1,Enterprise Value 3,-229.05B
2,Trailing P/E ,8.01
3,Forward P/E 1,7.70
4,PEG Ratio (5 yr expected) 1,1.36
5,Price/Sales (ttm),2.07
6,Price/Book (mrq),0.98
7,Enterprise Value/Revenue 3,-6.37
8,Enterprise Value/EBITDA 6,N/A
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,29.10%
1,Operating Margin (ttm),37.07%
,0,1
0,Return on Assets (ttm),1.13%
1,Return on Equity (ttm),11.98%
,0,1
0,Revenue (ttm),35.94B
1,Revenue Per Share (ttm),93.26
2,Quarterly Revenue Growth (yoy),0.30%
3,Gross Profit (ttm),31.72B
4,EBITDA ,N/A
5,Net Income Avi to Common (ttm),9.84B
6,Diluted EPS (ttm),25.27
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),741.25B
1,Total Cash Per Share (mrq),"1,945.18"
2,Total Debt (mrq),419.21B
3,Total Debt/Equity (mrq),456.89
4,Current Ratio (mrq),1.89
5,Book Value Per Share (mrq),207.26
,0,1
0,Operating Cash Flow (ttm),20.42B
1,Levered Free Cash Flow (ttm),N/A
,0,1
0,Beta (3Y Monthly) ,1.20
1,52-Week Change 3,-19.81%
2,S&P500 52-Week Change 3,10.19%
3,52 Week High 3,262.50
4,52 Week Low 3,151.70
5,50-Day Moving Average 3,196.11
6,200-Day Moving Average 3,199.15
,0,1
0,Avg Vol (3 month) 3,3.26M
1,Avg Vol (10 day) 3,2.85M
2,Shares Outstanding 5,366.76M
3,Float ,336.2M
4,% Held by Insiders 1,1.43%
5,% Held by Institutions 1,75.37%
6,"Shares Short (Mar 15, 2019) 4",6.31M
7,"Short Ratio (Mar 15, 2019) 4",2.46
8,"Short % of Float (Mar 15, 2019) 4",1.74%
9,"Short % of Shares Outstanding (Mar 15, 2019) 4",1.72%
10,"Shares Short (prior month Feb 15, 2019) 4",5.98M
,0,1
0,Forward Annual Dividend Rate 4,3.2
1,Forward Annual Dividend Yield 4,1.62%
2,Trailing Annual Dividend Rate 3,3.15
3,Trailing Annual Dividend Yield 3,1.56%
4,5 Year Average Dividend Yield 4,1.33
5,Payout Ratio 4,12.47%
6,Dividend Date 3,"Mar 28, 2019"
7,Ex-Dividend Date 4,"Feb 27, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
