,0,1,2,3,4
0,Revenue,12/30/2018,12/31/2017,12/25/2016,12/27/2015
1,Total Revenue,"4,579,646","5,209,782","5,019,822","4,447,509"
2,Cost of Revenue,"2,243,044","2,474,979","2,350,927","2,098,727"
3,Gross Profit,"2,336,602","2,734,803","2,668,895","2,348,782"
4,Operating Expenses,,,,
5,Research Development,"246,165","269,020","266,375","242,944"
6,Selling General and Administrative,"1,470,377","1,608,606","1,546,851","1,370,183"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,988,289","4,381,423","4,198,916","3,755,576"
10,Operating Income or Loss,"591,357","828,359","820,906","691,933"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-320,955","-42,209","-128,417","-88,018"
13,Earnings Before Interest and Taxes,"591,357","828,359","820,906","691,933"
14,Interest Expense,"-90,826","-98,268","-97,405","-97,122"
15,Income Before Tax,"270,402","786,150","692,489","603,915"
16,Income Tax Expense,"49,968","389,543","159,338","157,043"
17,Minority Interest,-,-,"22,704","40,170"
18,Net Income From Continuing Ops,"220,434","396,607","533,151","446,872"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"220,434","396,607","551,380","451,838"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"220,434","396,607","551,380","451,838"
