,Earnings Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,15.0,15.0,16.0,16.0
1,Avg. Estimate,0.55,0.48,1.74,1.88
2,Low Estimate,0.52,0.43,1.66,1.74
3,High Estimate,0.57,0.51,1.79,2.05
4,Year Ago EPS,0.6,0.52,1.93,1.74
,Revenue Estimate,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,No. of Analysts,14,13,15,15
1,Avg. Estimate,1.87B,1.7B,6.76B,6.83B
2,Low Estimate,1.84B,1.68B,6.71B,6.63B
3,High Estimate,1.91B,1.72B,6.81B,7.06B
4,Year Ago Sales,1.8B,1.65B,6.47B,6.76B
5,Sales Growth (year/est),4.00%,3.50%,4.50%,1.00%
,Earnings History,9/29/2017,12/30/2017,3/30/2018,6/29/2018
0,EPS Est.,0.6,0.52,0.24,0.46
1,EPS Actual,0.6,0.52,0.26,0.45
2,Difference,0,0,0.02,-0.01
3,Surprise %,0.00%,0.00%,8.30%,-2.20%
,EPS Trend,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Current Estimate,0.55,0.48,1.74,1.88
1,7 Days Ago,0.55,0.48,1.74,1.88
2,30 Days Ago,0.55,0.49,1.75,1.89
3,60 Days Ago,0.55,0.49,1.75,1.89
4,90 Days Ago,0.56,0.48,1.76,1.9
,EPS Revisions,Current Qtr. (Sep 2018),Next Qtr. (Dec 2018),Current Year (2018),Next Year (2019)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,N/A,N/A,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,2,2,3,2
,Growth Estimates,HBI,Industry,Sector,S&P 500
0,Current Qtr.,-8.30%,N/A,N/A,0.48
1,Next Qtr.,-7.70%,N/A,N/A,0.40
2,Current Year,-9.80%,N/A,N/A,0.21
3,Next Year,8.00%,N/A,N/A,0.10
4,Next 5 Years (per annum),0.23%,N/A,N/A,0.11
5,Past 5 Years (per annum),10.76%,N/A,N/A,N/A
