,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,23.0,23.0,17.0,24.0
1,Avg. Estimate,0.38,0.41,1.67,2.34
2,Low Estimate,0.31,0.29,1.34,0.94
3,High Estimate,0.44,0.56,2.07,3.85
4,Year Ago EPS,-0.05,-0.01,0.13,1.67
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,19,19,21,22
1,Avg. Estimate,711.49M,712.97M,2.89B,3.09B
2,Low Estimate,698M,688M,2.82B,2.7B
3,High Estimate,724M,741.08M,2.98B,3.55B
4,Year Ago Sales,577.48M,648.87M,2.49B,2.89B
5,Sales Growth (year/est),23.20%,9.90%,16.30%,6.70%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,-0.05,0.04,0.18,0.3
1,EPS Actual,-0.05,-0.01,0.19,0.42
2,Difference,0,-0.05,0.01,0.12
3,Surprise %,0.00%,-125.00%,5.60%,40.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.38,0.41,1.67,2.34
1,7 Days Ago,0.37,0.4,1.62,2.29
2,30 Days Ago,0.37,0.4,1.61,2.26
3,60 Days Ago,0.38,0.4,1.62,2.3
4,90 Days Ago,0.31,0.38,1.42,2.39
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,1,1,1
1,Up Last 30 Days,4,8,7,5
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,HP,Industry,Sector,S&P 500
0,Current Qtr.,860.00%,N/A,N/A,-0.02
1,Next Qtr.,"4,200.00%",N/A,N/A,0.04
2,Current Year,"1,184.60%",N/A,N/A,0.05
3,Next Year,40.10%,N/A,N/A,0.11
4,Next 5 Years (per annum),110.30%,N/A,N/A,0.10
5,Past 5 Years (per annum),-32.99%,N/A,N/A,N/A
