,0,1
0,Market Cap (intraday) 5,6.91B
1,Enterprise Value 3,7.06B
2,Trailing P/E ,N/A
3,Forward P/E 1,26.72
4,PEG Ratio (5 yr expected) 1,0.34
5,Price/Sales (ttm),2.59
6,Price/Book (mrq),1.58
7,Enterprise Value/Revenue 3,2.64
8,Enterprise Value/EBITDA 6,10.47
,0,1
0,Fiscal Year Ends ,"Sep 30, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,0.06%
1,Operating Margin (ttm),4.66%
,0,1
0,Return on Assets (ttm),1.24%
1,Return on Equity (ttm),0.02%
,0,1
0,Revenue (ttm),2.67B
1,Revenue Per Share (ttm),24.51
2,Quarterly Revenue Growth (yoy),31.30%
3,Gross Profit (ttm),834.66M
4,EBITDA ,674.17M
5,Net Income Avi to Common (ttm),-854k
6,Diluted EPS (ttm),-0.00
7,Quarterly Earnings Growth (yoy),-96.20%
,0,1
0,Total Cash (mrq),269.53M
1,Total Cash Per Share (mrq),2.46
2,Total Debt (mrq),490.8M
3,Total Debt/Equity (mrq),11.35
4,Current Ratio (mrq),2.70
5,Book Value Per Share (mrq),39.54
,0,1
0,Operating Cash Flow (ttm),674.41M
1,Levered Free Cash Flow (ttm),75.67M
,0,1
0,Beta (3Y Monthly) ,1.62
1,52-Week Change 3,-14.05%
2,S&P500 52-Week Change 3,8.62%
3,52 Week High 3,73.87
4,52 Week Low 3,44.56
5,50-Day Moving Average 3,56.77
6,200-Day Moving Average 3,57.97
,0,1
0,Avg Vol (3 month) 3,1.28M
1,Avg Vol (10 day) 3,1M
2,Shares Outstanding 5,110.51M
3,Float ,106.25M
4,% Held by Insiders 1,3.10%
5,% Held by Institutions 1,100.75%
6,"Shares Short (Mar 29, 2019) 4",9.17M
7,"Short Ratio (Mar 29, 2019) 4",7.59
8,"Short % of Float (Mar 29, 2019) 4",10.90%
9,"Short % of Shares Outstanding (Mar 29, 2019) 4",8.38%
10,"Shares Short (prior month Feb 28, 2019) 4",9.27M
,0,1
0,Forward Annual Dividend Rate 4,2.84
1,Forward Annual Dividend Yield 4,5.11%
2,Trailing Annual Dividend Rate 3,2.83
3,Trailing Annual Dividend Yield 3,4.55%
4,5 Year Average Dividend Yield 4,4.28
5,Payout Ratio 4,N/A
6,Dividend Date 3,"Jun 3, 2019"
7,Ex-Dividend Date 4,"May 10, 2019"
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Jul 10, 2006"
