,0,1,2,3,4
0,Revenue,4/30/2018,4/30/2017,4/30/2016,4/30/2015
1,Total Revenue,"3,159,931","3,036,314","3,038,153","3,078,658"
2,Cost of Revenue,"1,739,729","1,644,377","1,685,552","1,518,629"
3,Gross Profit,"1,420,202","1,391,937","1,352,601","1,560,029"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"660,752","675,953","719,409","605,559"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,400,481","2,320,330","2,404,961","2,283,992"
10,Operating Income or Loss,"759,450","715,984","633,192","794,666"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-90,718","-86,697","-63,713","-51,861"
13,Earnings Before Interest and Taxes,"759,450","715,984","633,192","794,666"
14,Interest Expense,"-89,372","-92,951","-68,962","-45,246"
15,Income Before Tax,"668,732","629,287","569,479","742,805"
16,Income Tax Expense,"41,823","208,370","185,926","256,061"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"626,909","420,917","383,553","486,744"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-13,760","-11,972","-9,286","-13,081"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"613,149","408,945","374,267","473,663"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"611,657","407,940","373,549","472,889"
