,0,1,2,3,4
0,Period Ending,12/30/2018,12/31/2017,1/1/2017,1/3/2016
1,Net Income,"826,000","726,000","463,000","462,000"
2,"Operating Activities, Cash Flows Provided By or Used In",,,,
3,Depreciation,"179,000","156,000","141,000","127,000"
4,Adjustments To Net Income,"114,000","-232,000","190,000","198,000"
5,Changes In Accounts Receivables,"-105,000","-26,000","3,000","-96,000"
6,Changes In Liabilities,"45,000","10,000","-2,000","46,000"
7,Changes In Inventories,"-53,000","-33,000","-30,000","-81,000"
8,Changes In Other Operating Activities,"95,000","244,000","-16,000","91,000"
9,Total Cash Flow From Operating Activities,"1,142,000","875,000","779,000","786,000"
10,"Investing Activities, Cash Flows Provided By or Used In",,,,
11,Capital Expenditures,"-296,000","-310,000","-260,000","-143,000"
12,Investments,"-1,417,000","-128,000","-226,000","73,000"
13,Other Cash flows from Investing Activities,"-1,517,000","-1,517,000","-1,517,000","-1,517,000"
14,Total Cash Flows From Investing Activities,"-1,813,000","-214,000","-515,000","-107,000"
15,"Financing Activities, Cash Flows Provided By or Used In",,,,
16,Dividends Paid,-,-,-,-
17,Sale Purchase of Stock,-,-,-,-
18,Net Borrowings,"731,000","-4,000","-61,000","-245,000"
19,Other Cash Flows from Financing Activities,"92,000","76,000","67,000","29,000"
20,Total Cash Flows From Financing Activities,"594,000","-176,000","-296,000","-545,000"
21,Effect Of Exchange Rate Changes,"-4,000","5,000","-2,000","-1,000"
22,Change In Cash and Cash Equivalents,"-81,000","490,000","-34,000","133,000"
