,0,1,2,3,4
0,Revenue,12/30/2018,12/31/2017,1/1/2017,1/3/2016
1,Total Revenue,"3,333,000","2,752,000","2,398,000","2,220,000"
2,Cost of Revenue,"998,000","869,000","689,000","625,000"
3,Gross Profit,"2,335,000","1,883,000","1,709,000","1,595,000"
4,Operating Expenses,,,,
5,Research Development,"622,000","495,000","458,000","362,000"
6,Selling General and Administrative,"787,000","720,000","630,000","561,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,442,000","2,123,000","1,820,000","1,594,000"
10,Operating Income or Loss,"891,000","629,000","578,000","626,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-10,000","414,000","-17,000","-43,000"
13,Earnings Before Interest and Taxes,"891,000","629,000","578,000","626,000"
14,Interest Expense,"-57,000","-37,000","-33,000","-43,000"
15,Income Before Tax,"894,000","1,043,000","561,000","583,000"
16,Income Tax Expense,"112,000","365,000","133,000","125,000"
17,Minority Interest,"148,000","220,000","117,000","32,546"
18,Net Income From Continuing Ops,"782,000","678,000","428,000","458,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"826,000","726,000","463,000","462,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"826,000","725,000","454,000","462,000"
