,0,1
0,Market Cap (intraday) 5,16.08B
1,Enterprise Value 3,14.66B
2,Trailing P/E ,147.12
3,Forward P/E 1,26.61
4,PEG Ratio (5 yr expected) 1,0.82
5,Price/Sales (ttm),8.54
6,Price/Book (mrq),8.31
7,Enterprise Value/Revenue 3,7.79
8,Enterprise Value/EBITDA 6,70.25
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,5.82%
1,Operating Margin (ttm),8.23%
,0,1
0,Return on Assets (ttm),3.91%
1,Return on Equity (ttm),6.16%
,0,1
0,Revenue (ttm),1.88B
1,Revenue Per Share (ttm),8.86
2,Quarterly Revenue Growth (yoy),19.00%
3,Gross Profit (ttm),589.8M
4,EBITDA ,208.64M
5,Net Income Avi to Common (ttm),109.49M
6,Diluted EPS (ttm),0.51
7,Quarterly Earnings Growth (yoy),N/A
,0,1
0,Total Cash (mrq),1.44B
1,Total Cash Per Share (mrq),6.72
2,Total Debt (mrq),36.13M
3,Total Debt/Equity (mrq),1.88
4,Current Ratio (mrq),4.31
5,Book Value Per Share (mrq),9.03
,0,1
0,Operating Cash Flow (ttm),336.23M
1,Levered Free Cash Flow (ttm),209.07M
,0,1
0,Beta (3Y Monthly) ,1.32
1,52-Week Change 3,19.37%
2,S&P500 52-Week Change 3,10.50%
3,52 Week High 3,88.83
4,52 Week Low 3,57.00
5,50-Day Moving Average 3,82.21
6,200-Day Moving Average 3,74.19
,0,1
0,Avg Vol (3 month) 3,1.26M
1,Avg Vol (10 day) 3,1.31M
2,Shares Outstanding 5,214.26M
3,Float ,178.58M
4,% Held by Insiders 1,0.55%
5,% Held by Institutions 1,94.02%
6,"Shares Short (Apr 15, 2019) 4",4.94M
7,"Short Ratio (Apr 15, 2019) 4",4
8,"Short % of Float (Apr 15, 2019) 4",2.75%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",2.30%
10,"Shares Short (prior month Mar 15, 2019) 4",5.05M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,1/2
9,Last Split Date 3,"Sep 1, 2000"
