,0,1
0,Market Cap (intraday) 5,8.31B
1,Enterprise Value 3,9.97B
2,Trailing P/E ,14.63
3,Forward P/E 1,11.84
4,PEG Ratio (5 yr expected) 1,1.49
5,Price/Sales (ttm),1.03
6,Price/Book (mrq),4.03
7,Enterprise Value/Revenue 3,1.23
8,Enterprise Value/EBITDA 6,8.55
,0,1
0,Fiscal Year Ends ,"Dec 31, 2017"
1,Most Recent Quarter (mrq),"Jun 30, 2018"
,0,1
0,Profit Margin ,7.14%
1,Operating Margin (ttm),12.37%
,0,1
0,Return on Assets (ttm),5.21%
1,Return on Equity (ttm),26.49%
,0,1
0,Revenue (ttm),8.09B
1,Revenue Per Share (ttm),21.01
2,Quarterly Revenue Growth (yoy),6.20%
3,Gross Profit (ttm),2.81B
4,EBITDA ,1.17B
5,Net Income Avi to Common (ttm),578.3M
6,Diluted EPS (ttm),1.48
7,Quarterly Earnings Growth (yoy),35.40%
,0,1
0,Total Cash (mrq),493.2M
1,Total Cash Per Share (mrq),1.28
2,Total Debt (mrq),2.04B
3,Total Debt/Equity (mrq),90.39
4,Current Ratio (mrq),0.94
5,Book Value Per Share (mrq),5.37
,0,1
0,Operating Cash Flow (ttm),477.2M
1,Levered Free Cash Flow (ttm),269.98M
,0,1
0,Beta (3Y Monthly) ,0.94
1,52-Week Change 3,3.68%
2,S&P500 52-Week Change 3,8.19%
3,52 Week High 3,26.01
4,52 Week Low 3,18.30
5,50-Day Moving Average 3,22.84
6,200-Day Moving Average 3,23.05
,0,1
0,Avg Vol (3 month) 3,4.09M
1,Avg Vol (10 day) 3,6.61M
2,Shares Outstanding 5,383.78M
3,Float ,381.18M
4,% Held by Insiders 1,0.66%
5,% Held by Institutions 1,104.35%
6,"Shares Short (Sep 28, 2018) 4",24.61M
7,"Short Ratio (Sep 28, 2018) 4",6.94
8,"Short % of Float (Sep 28, 2018) 4",8.10%
9,"Short % of Shares Outstanding (Sep 28, 2018) 4",6.41%
10,"Shares Short (prior month Aug 31, 2018) 4",24.94M
,0,1
0,Forward Annual Dividend Rate 4,0.84
1,Forward Annual Dividend Yield 4,3.92%
2,Trailing Annual Dividend Rate 3,0.78
3,Trailing Annual Dividend Yield 3,3.64%
4,5 Year Average Dividend Yield 4,2.44
5,Payout Ratio 4,53.06%
6,Dividend Date 3,"Sep 18, 2018"
7,Ex-Dividend Date 4,"Aug 31, 2018"
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Jul 16, 1999"
