,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"7,189,568","6,555,459","6,187,646","6,165,441"
2,Cost of Revenue,"5,887,979","5,261,512","4,943,044","5,068,949"
3,Gross Profit,"1,301,589","1,293,947","1,244,602","1,096,492"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"246,357","165,463","146,211","131,658"
7,Non Recurring,-,-,-,-
8,Others,"44,825","45,954","43,084","38,796"
9,Total Operating Expenses,"6,562,679","5,834,439","5,471,952","5,533,899"
10,Operating Income or Loss,"626,889","721,020","715,694","631,542"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-31,650","-25,223","-25,491","-26,941"
13,Earnings Before Interest and Taxes,"626,889","721,020","715,694","631,542"
14,Interest Expense,"-28,785","-25,294","-25,577","-27,028"
15,Income Before Tax,"595,239","695,797","690,203","604,601"
16,Income Tax Expense,"-91,024","263,707","262,968","229,809"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"686,263","432,090","427,235","374,792"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"686,263","432,090","427,235","374,792"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"686,263","432,090","427,235","374,792"
