,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,13.0,13.0,15.0,14.0
1,Avg. Estimate,0.3,0.59,1.81,2.49
2,Low Estimate,0.28,0.57,1.78,1.97
3,High Estimate,0.32,0.61,1.86,2.7
4,Year Ago EPS,0.53,0.81,2.83,1.81
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,10,10,13,12
1,Avg. Estimate,5.79B,6.43B,24.03B,24.91B
2,Low Estimate,5.65B,6.34B,23.85B,24.52B
3,High Estimate,5.87B,6.5B,24.22B,25.3B
4,Year Ago Sales,7.47B,8.12B,31.4B,24.03B
5,Sales Growth (year/est),-22.60%,-20.80%,-23.50%,3.60%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.52,0.79,0.93,0.24
1,EPS Actual,0.53,0.81,0.93,0.26
2,Difference,0.01,0.02,0,0.02
3,Surprise %,1.90%,2.50%,0.00%,8.30%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.3,0.59,1.81,2.49
1,7 Days Ago,0.31,0.59,1.81,2.49
2,30 Days Ago,0.31,0.59,1.82,2.52
3,60 Days Ago,0.31,0.59,1.82,2.52
4,90 Days Ago,0.32,0.59,1.82,2.41
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,1,1,N/A
1,Up Last 30 Days,N/A,1,1,N/A
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,3,1,N/A,1
,Growth Estimates,JCI,Industry,Sector,S&P 500
0,Current Qtr.,-43.40%,N/A,N/A,-0.02
1,Next Qtr.,-27.20%,N/A,N/A,0.04
2,Current Year,-36.00%,N/A,N/A,0.05
3,Next Year,37.60%,N/A,N/A,0.11
4,Next 5 Years (per annum),9.26%,N/A,N/A,0.10
5,Past 5 Years (per annum),2.85%,N/A,N/A,N/A
