,0,1
0,Market Cap (intraday) 5,40.88B
1,Enterprise Value 3,56.76B
2,Trailing P/E ,54.81
3,Forward P/E 1,20.90
4,PEG Ratio (5 yr expected) 1,1.63
5,Price/Sales (ttm),5.49
6,Price/Book (mrq),1.81
7,Enterprise Value/Revenue 3,7.63
8,Enterprise Value/EBITDA 6,26.22
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,7.87%
1,Operating Margin (ttm),22.88%
,0,1
0,Return on Assets (ttm),3.29%
1,Return on Equity (ttm),3.90%
,0,1
0,Revenue (ttm),7.44B
1,Revenue Per Share (ttm),6.85
2,Quarterly Revenue Growth (yoy),73.20%
3,Gross Profit (ttm),4.02B
4,EBITDA ,2.16B
5,Net Income Avi to Common (ttm),586M
6,Diluted EPS (ttm),0.53
7,Quarterly Earnings Growth (yoy),-88.00%
,0,1
0,Total Cash (mrq),85M
1,Total Cash Per Share (mrq),0.06
2,Total Debt (mrq),16B
3,Total Debt/Equity (mrq),71.02
4,Current Ratio (mrq),0.38
5,Book Value Per Share (mrq),16.03
,0,1
0,Operating Cash Flow (ttm),1.61B
1,Levered Free Cash Flow (ttm),2.41B
,0,1
0,Beta (3Y Monthly) ,0.40
1,52-Week Change 3,∞%
2,S&P500 52-Week Change 3,9.16%
3,52 Week High 3,124.36
4,52 Week Low 3,20.46
5,50-Day Moving Average 3,27.66
6,200-Day Moving Average 3,26.74
,0,1
0,Avg Vol (3 month) 3,2.53M
1,Avg Vol (10 day) 3,2.11M
2,Shares Outstanding 5,1.41B
3,Float ,197.82M
4,% Held by Insiders 1,85.62%
5,% Held by Institutions 1,13.07%
6,"Shares Short (Apr 15, 2019) 4",15.25M
7,"Short Ratio (Apr 15, 2019) 4",6.47
8,"Short % of Float (Apr 15, 2019) 4",10.85%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",1.08%
10,"Shares Short (prior month Mar 15, 2019) 4",15.74M
,0,1
0,Forward Annual Dividend Rate 4,0.6
1,Forward Annual Dividend Yield 4,2.06%
2,Trailing Annual Dividend Rate 3,0.30
3,Trailing Annual Dividend Yield 3,1.04%
4,5 Year Average Dividend Yield 4,2.73
5,Payout Ratio 4,166.04%
6,Dividend Date 3,"Apr 19, 2019"
7,Ex-Dividend Date 4,"Apr 4, 2019"
8,Last Split Factor (new per old) 2,N/A
9,Last Split Date 3,N/A
