,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"6,178,000","6,026,000","4,724,000","4,062,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"6,178,000","6,026,000","4,724,000","4,062,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"3,292,000","3,328,000","3,053,000","2,399,000"
7,Non Recurring,-,-,-,-
8,Others,"457,000","555,000","527,000","343,000"
9,Total Operating Expenses,"3,752,000","3,886,000","3,583,000","2,743,000"
10,Operating Income or Loss,"2,426,000","2,140,000","1,141,000","1,319,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-223,000","-212,000","-173,000","-97,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"2,203,000","1,928,000","968,000","1,222,000"
16,Income Tax Expense,"344,000","637,000","179,000","303,000"
17,Minority Interest,"1,000","2,000","2,000","13,000"
18,Net Income From Continuing Ops,"1,859,000","1,291,000","789,000","919,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"7,000","7,000","1,000","1,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,866,000","1,296,000","791,000","916,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,800,000","1,226,000","754,000","893,000"
