,0,1,2,3,4
0,Revenue,2/28/2018,2/28/2017,2/29/2016,2/28/2015
1,Total Revenue,"17,976,809","16,637,118","15,832,575","14,873,616"
2,Cost of Revenue,"15,226,768","14,084,840","13,421,779","12,618,795"
3,Gross Profit,"2,750,041","2,552,278","2,410,796","2,254,821"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,617,100","1,488,504","1,351,935","1,278,625"
7,Non Recurring,-,-,-,-
8,Others,-49,-49,-49,-49
9,Total Operating Expenses,"16,843,819","15,573,344","14,773,714","13,897,420"
10,Operating Income or Loss,"1,132,990","1,063,774","1,058,861","976,196"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-69,382","-57,369","-48,917","-6,865"
13,Earnings Before Interest and Taxes,"1,132,990","1,063,774","1,058,861","976,196"
14,Interest Expense,"-70,745","-56,416","-36,358","-24,473"
15,Income Before Tax,"1,063,608","1,006,405","1,009,944","969,331"
16,Income Tax Expense,"399,496","379,435","386,516","371,973"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"664,112","626,970","623,428","597,358"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"664,112","626,970","623,428","597,358"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"664,112","626,970","623,428","597,358"
