,0,1
0,Market Cap (intraday) 5,13.8B
1,Enterprise Value 3,27.39B
2,Trailing P/E ,20.64
3,Forward P/E 1,15.70
4,PEG Ratio (5 yr expected) 1,1.25
5,Price/Sales (ttm),0.76
6,Price/Book (mrq),4.08
7,Enterprise Value/Revenue 3,1.50
8,Enterprise Value/EBITDA 6,21.10
,0,1
0,Fiscal Year Ends ,"Feb 28, 2018"
1,Most Recent Quarter (mrq),"May 31, 2018"
,0,1
0,Profit Margin ,3.79%
1,Operating Margin (ttm),6.12%
,0,1
0,Return on Assets (ttm),4.08%
1,Return on Equity (ttm),21.15%
,0,1
0,Revenue (ttm),18.25B
1,Revenue Per Share (ttm),100.90
2,Quarterly Revenue Growth (yoy),5.80%
3,Gross Profit (ttm),2.75B
4,EBITDA ,1.3B
5,Net Income Avi to Common (ttm),691.07M
6,Diluted EPS (ttm),3.79
7,Quarterly Earnings Growth (yoy),12.70%
,0,1
0,Total Cash (mrq),76.35M
1,Total Cash Per Share (mrq),0.43
2,Total Debt (mrq),13.25B
3,Total Debt/Equity (mrq),391.71
4,Current Ratio (mrq),2.30
5,Book Value Per Share (mrq),19.15
,0,1
0,Operating Cash Flow (ttm),-41.19M
1,Levered Free Cash Flow (ttm),481.43M
,0,1
0,Beta ,1.76
1,52-Week Change 3,5.60%
2,S&P500 52-Week Change 3,17.39%
3,52 Week High 3,81.67
4,52 Week Low 3,57.05
5,50-Day Moving Average 3,76.74
6,200-Day Moving Average 3,70.08
,0,1
0,Avg Vol (3 month) 3,1.25M
1,Avg Vol (10 day) 3,1.06M
2,Shares Outstanding 5,176.56M
3,Float ,163.76M
4,% Held by Insiders 1,0.50%
5,% Held by Institutions 1,105.09%
6,"Shares Short (Aug 31, 2018) 4",11.52M
7,"Short Ratio (Aug 31, 2018) 4",10.78
8,"Short % of Float (Aug 31, 2018) 4",7.22%
9,"Short % of Shares Outstanding (Aug 31, 2018) 4",6.52%
10,"Shares Short (prior month Jul 31, 2018) 4",11.79M
,0,1
0,Forward Annual Dividend Rate 4,N/A
1,Forward Annual Dividend Yield 4,N/A
2,Trailing Annual Dividend Rate 3,N/A
3,Trailing Annual Dividend Yield 3,N/A
4,5 Year Average Dividend Yield 4,N/A
5,Payout Ratio 4,0.00%
6,Dividend Date 3,N/A
7,Ex-Dividend Date 4,N/A
8,Last Split Factor (new per old) 2,2/1
9,Last Split Date 3,"Mar 27, 2007"
