,Earnings Estimate,Current Qtr. (Jul 2018),Next Qtr. (Oct 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,20.0,20.0,22.0,23.0
1,Avg. Estimate,1.64,0.96,5.39,5.66
2,Low Estimate,1.48,0.75,4.98,4.5
3,High Estimate,1.79,1.1,6.3,7.55
4,Year Ago EPS,1.24,0.7,4.19,5.39
,Revenue Estimate,Current Qtr. (Jul 2018),Next Qtr. (Oct 2018),Current Year (2019),Next Year (2020)
0,No. of Analysts,10,10,12,12
1,Avg. Estimate,4.26B,4.33B,19.08B,19.31B
2,Low Estimate,4.23B,4.21B,18.75B,18.6B
3,High Estimate,4.31B,4.4B,19.45B,19.81B
4,Year Ago Sales,4.14B,4.33B,19.09B,19.08B
5,Sales Growth (year/est),2.90%,0.00%,-0.10%,1.20%
,Earnings History,7/30/2017,10/30/2017,1/30/2018,4/29/2018
0,EPS Est.,1.19,0.72,1.77,0.5
1,EPS Actual,1.24,0.7,1.87,0.64
2,Difference,0.05,-0.02,0.1,0.14
3,Surprise %,4.20%,-2.80%,5.60%,28.00%
,EPS Trend,Current Qtr. (Jul 2018),Next Qtr. (Oct 2018),Current Year (2019),Next Year (2020)
0,Current Estimate,1.64,0.96,5.39,5.66
1,7 Days Ago,1.64,0.96,5.39,5.65
2,30 Days Ago,1.62,0.97,5.37,5.64
3,60 Days Ago,1.63,0.97,5.37,5.64
4,90 Days Ago,1.66,0.95,5.28,5.54
,EPS Revisions,Current Qtr. (Jul 2018),Next Qtr. (Oct 2018),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,1,N/A,2,2
1,Up Last 30 Days,4,1,7,7
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,1,N/A,N/A
,Growth Estimates,KSS,Industry,Sector,S&P 500
0,Current Qtr.,32.30%,N/A,N/A,0.47
1,Next Qtr.,37.10%,N/A,N/A,0.46
2,Current Year,28.60%,N/A,N/A,0.22
3,Next Year,5.00%,N/A,N/A,0.10
4,Next 5 Years (per annum),9.80%,N/A,N/A,0.11
5,Past 5 Years (per annum),-0.46%,N/A,N/A,N/A
