,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,13.0,13.0,15.0,15.0
1,Avg. Estimate,0.56,0.68,2.41,2.67
2,Low Estimate,0.53,0.64,2.35,2.6
3,High Estimate,0.58,0.7,2.53,3.02
4,Year Ago EPS,0.55,0.61,2.19,2.41
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,10,10,12,13
1,Avg. Estimate,3.15B,3.35B,12.83B,13.3B
2,Low Estimate,3.03B,3.28B,12.7B,13.03B
3,High Estimate,3.24B,3.42B,13.02B,13.59B
4,Year Ago Sales,2.72B,3.03B,11.88B,12.83B
5,Sales Growth (year/est),15.90%,10.40%,8.10%,3.60%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.59,0.58,0.56,0.49
1,EPS Actual,0.55,0.61,0.56,0.48
2,Difference,-0.04,0.03,0,-0.01
3,Surprise %,-6.80%,5.20%,0.00%,-2.00%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.56,0.68,2.41,2.67
1,7 Days Ago,0.56,0.68,2.41,2.67
2,30 Days Ago,0.57,0.68,2.41,2.67
3,60 Days Ago,0.63,0.69,2.49,2.67
4,90 Days Ago,0.63,0.69,2.5,2.73
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,1,N/A,1
1,Up Last 30 Days,N/A,1,N/A,1
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,N/A,1,N/A
,Growth Estimates,LKQ,Industry,Sector,S&P 500
0,Current Qtr.,1.80%,N/A,N/A,-0.02
1,Next Qtr.,11.50%,N/A,N/A,0.04
2,Current Year,10.00%,N/A,N/A,0.05
3,Next Year,10.80%,N/A,N/A,0.11
4,Next 5 Years (per annum),33.50%,N/A,N/A,0.10
5,Past 5 Years (per annum),14.14%,N/A,N/A,N/A
