,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"14,257,000","13,330,000","13,572,000","13,554,000"
2,Cost of Revenue,"9,386,000","9,096,000","9,397,000","8,871,000"
3,Gross Profit,"4,871,000","4,234,000","4,175,000","4,683,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,204,000","2,105,000","2,162,000","2,108,000"
7,Non Recurring,-,-,-,-
8,Others,"332,000","328,000","307,000","307,000"
9,Total Operating Expenses,"11,926,000","11,533,000","11,870,000","11,290,000"
10,Operating Income or Loss,"2,331,000","1,797,000","1,702,000","2,264,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,201,000","-339,000","-272,000","-267,000"
13,Earnings Before Interest and Taxes,"2,331,000","1,797,000","1,702,000","2,264,000"
14,Interest Expense,"-253,000","-268,000","-272,000","-267,000"
15,Income Before Tax,"1,130,000","1,458,000","1,430,000","1,997,000"
16,Income Tax Expense,"-949,000","266,000","276,000","483,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,079,000","1,192,000","1,154,000","1,514,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"1,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,079,000","1,192,000","1,154,000","1,515,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,079,000","1,192,000","1,154,000","1,515,000"
