,Earnings Estimate,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2020),Next Year (2021)
0,No. of Analysts,31.0,30.0,33.0,34.0
1,Avg. Estimate,0.7,0.88,4.63,5.46
2,Low Estimate,0.67,0.83,4.52,5.14
3,High Estimate,0.84,1.01,5.38,5.78
4,Year Ago EPS,0.55,0.71,3.84,4.63
,Revenue Estimate,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2020),Next Year (2021)
0,No. of Analysts,28,27,31,32
1,Avg. Estimate,755M,834.01M,3.77B,4.32B
2,Low Estimate,742.51M,811.9M,3.73B,4.21B
3,High Estimate,789.18M,851.9M,3.85B,4.49B
4,Year Ago Sales,649.71M,723.5M,3.29B,3.77B
5,Sales Growth (year/est),16.20%,15.30%,14.70%,14.60%
,Earnings History,4/29/2018,7/30/2018,10/30/2018,1/30/2019
0,EPS Est.,0.46,0.49,0.7,1.74
1,EPS Actual,0.55,0.71,0.75,1.85
2,Difference,0.09,0.22,0.05,0.11
3,Surprise %,19.60%,44.90%,7.10%,6.30%
,EPS Trend,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2020),Next Year (2021)
0,Current Estimate,0.7,0.88,4.63,5.46
1,7 Days Ago,0.7,0.88,4.63,5.46
2,30 Days Ago,0.7,0.88,4.59,5.39
3,60 Days Ago,0.68,0.85,4.4,5.21
4,90 Days Ago,0.67,0.85,4.4,5.22
,EPS Revisions,Current Qtr. (Apr 2019),Next Qtr. (Jul 2019),Current Year (2020),Next Year (2021)
0,Up Last 7 Days,1,1,1,1
1,Up Last 30 Days,6,7,9,16
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,N/A,N/A,N/A,N/A
,Growth Estimates,LULU,Industry,Sector,S&P 500
0,Current Qtr.,27.30%,N/A,N/A,0.02
1,Next Qtr.,23.90%,N/A,N/A,0.04
2,Current Year,20.60%,N/A,N/A,0.05
3,Next Year,17.90%,N/A,N/A,0.11
4,Next 5 Years (per annum),18.91%,N/A,N/A,0.10
5,Past 5 Years (per annum),17.42%,N/A,N/A,N/A
