,Earnings Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,20.0,20.0,22.0,21.0
1,Avg. Estimate,0.61,1.42,4.64,5.29
2,Low Estimate,0.56,1.2,4.1,4.58
3,High Estimate,0.65,1.62,5.29,5.85
4,Year Ago EPS,0.75,1.26,4.24,4.64
,Revenue Estimate,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,No. of Analysts,15,15,19,18
1,Avg. Estimate,5.12B,6.09B,23.21B,24.85B
2,Low Estimate,5.07B,5.82B,22.88B,24.02B
3,High Estimate,5.15B,6.26B,23.52B,25.74B
4,Year Ago Sales,4.94B,5.74B,21.96B,23.21B
5,Sales Growth (year/est),3.50%,6.00%,5.70%,7.10%
,Earnings History,3/30/2018,6/29/2018,9/29/2018,12/30/2018
0,EPS Est.,0.74,1.23,1.07,1.07
1,EPS Actual,0.75,1.26,1.08,1.17
2,Difference,0.01,0.03,0.01,0.1
3,Surprise %,1.40%,2.40%,0.90%,9.30%
,EPS Trend,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Current Estimate,0.61,1.42,4.64,5.29
1,7 Days Ago,0.61,1.43,4.67,5.29
2,30 Days Ago,0.83,1.6,5.07,5.46
3,60 Days Ago,0.89,1.62,5.24,5.58
4,90 Days Ago,0.82,1.59,4.87,5.27
,EPS Revisions,Current Qtr. (Mar 2019),Next Qtr. (Jun 2019),Current Year (2019),Next Year (2020)
0,Up Last 7 Days,N/A,N/A,N/A,N/A
1,Up Last 30 Days,1,1,1,4
2,Down Last 7 Days,N/A,N/A,N/A,N/A
3,Down Last 30 Days,1,2,2,1
,Growth Estimates,LUV,Industry,Sector,S&P 500
0,Current Qtr.,-18.70%,N/A,N/A,-0.02
1,Next Qtr.,12.70%,N/A,N/A,0.04
2,Current Year,9.40%,N/A,N/A,0.05
3,Next Year,14.00%,N/A,N/A,0.11
4,Next 5 Years (per annum),12.04%,N/A,N/A,0.10
5,Past 5 Years (per annum),21.71%,N/A,N/A,N/A
