,0,1
0,Market Cap (intraday) 5,253.07B
1,Enterprise Value 3,251.12B
2,Trailing P/E ,44.05
3,Forward P/E 1,27.59
4,PEG Ratio (5 yr expected) 1,1.55
5,Price/Sales (ttm),16.93
6,Price/Book (mrq),47.11
7,Enterprise Value/Revenue 3,16.80
8,Enterprise Value/EBITDA 6,28.23
,0,1
0,Fiscal Year Ends ,"Dec 31, 2018"
1,Most Recent Quarter (mrq),"Dec 31, 2018"
,0,1
0,Profit Margin ,39.19%
1,Operating Margin (ttm),56.44%
,0,1
0,Return on Assets (ttm),22.83%
1,Return on Equity (ttm),105.98%
,0,1
0,Revenue (ttm),14.95B
1,Revenue Per Share (ttm),14.36
2,Quarterly Revenue Growth (yoy),14.90%
3,Gross Profit (ttm),14.95B
4,EBITDA ,8.9B
5,Net Income Avi to Common (ttm),5.86B
6,Diluted EPS (ttm),5.60
7,Quarterly Earnings Growth (yoy),296.00%
,0,1
0,Total Cash (mrq),8.38B
1,Total Cash Per Share (mrq),8.17
2,Total Debt (mrq),6.33B
3,Total Debt/Equity (mrq),115.39
4,Current Ratio (mrq),1.39
5,Book Value Per Share (mrq),5.24
,0,1
0,Operating Cash Flow (ttm),6.22B
1,Levered Free Cash Flow (ttm),7.06B
,0,1
0,Beta (3Y Monthly) ,1.01
1,52-Week Change 3,37.77%
2,S&P500 52-Week Change 3,10.50%
3,52 Week High 3,247.15
4,52 Week Low 3,171.89
5,50-Day Moving Average 3,236.04
6,200-Day Moving Average 3,210.85
,0,1
0,Avg Vol (3 month) 3,3.26M
1,Avg Vol (10 day) 3,3.02M
2,Shares Outstanding 5,1.01B
3,Float ,1.01B
4,% Held by Insiders 1,11.17%
5,% Held by Institutions 1,78.00%
6,"Shares Short (Apr 15, 2019) 4",5.51M
7,"Short Ratio (Apr 15, 2019) 4",1.77
8,"Short % of Float (Apr 15, 2019) 4",0.60%
9,"Short % of Shares Outstanding (Apr 15, 2019) 4",0.54%
10,"Shares Short (prior month Mar 15, 2019) 4",6.54M
,0,1
0,Forward Annual Dividend Rate 4,1.32
1,Forward Annual Dividend Yield 4,0.56%
2,Trailing Annual Dividend Rate 3,1.08
3,Trailing Annual Dividend Yield 3,0.44%
4,5 Year Average Dividend Yield 4,0.60
5,Payout Ratio 4,17.86%
6,Dividend Date 3,"May 9, 2019"
7,Ex-Dividend Date 4,"Apr 8, 2019"
8,Last Split Factor (new per old) 2,1/10
9,Last Split Date 3,"Jan 22, 2014"
